Timestep,TransitionGroupID,Amount,DistributionType,DistributionFrequencyID,DistributionSD
2038,DROUGHT: Medium Severity [Type],301.2059829,Normal,Iteration and Timestep,150.6029914
2039,DROUGHT: Medium Severity [Type],383.5033249,Normal,Iteration and Timestep,191.7516625
2040,DROUGHT: Medium Severity [Type],188.7120739,Normal,Iteration and Timestep,94.35603693
2041,DROUGHT: Medium Severity [Type],331.8403709,Normal,Iteration and Timestep,165.9201855
2042,DROUGHT: Medium Severity [Type],295.1756205,Normal,Iteration and Timestep,147.5878102
2043,DROUGHT: Medium Severity [Type],50.10486168,Normal,Iteration and Timestep,25.05243084
2044,DROUGHT: Medium Severity [Type],271.7998422,Normal,Iteration and Timestep,135.8999211
2045,DROUGHT: Medium Severity [Type],322.0781061,Normal,Iteration and Timestep,161.0390531
2046,DROUGHT: Medium Severity [Type],369.9246647,Normal,Iteration and Timestep,184.9623323
2047,DROUGHT: Medium Severity [Type],235.0474888,Normal,Iteration and Timestep,117.5237444
2048,DROUGHT: Medium Severity [Type],205.5822878,Normal,Iteration and Timestep,102.7911439
2049,DROUGHT: Medium Severity [Type],207.5590373,Normal,Iteration and Timestep,103.7795186
2050,DROUGHT: Medium Severity [Type],198.4773313,Normal,Iteration and Timestep,99.23866564
2051,DROUGHT: Medium Severity [Type],1100.158532,Normal,Iteration and Timestep,550.0792658
2052,DROUGHT: Medium Severity [Type],825.3221347,Normal,Iteration and Timestep,412.6610674
2053,DROUGHT: Medium Severity [Type],2584.862204,Normal,Iteration and Timestep,1292.431102
2054,DROUGHT: Medium Severity [Type],385.3759035,Normal,Iteration and Timestep,192.6879518
2055,DROUGHT: Medium Severity [Type],336.1288092,Normal,Iteration and Timestep,168.0644046
2056,DROUGHT: Medium Severity [Type],386.5358027,Normal,Iteration and Timestep,193.2679014
2057,DROUGHT: Medium Severity [Type],1215.326679,Normal,Iteration and Timestep,607.6633396
2058,DROUGHT: Medium Severity [Type],651.8794761,Normal,Iteration and Timestep,325.9397381
2059,DROUGHT: Medium Severity [Type],1270.0341,Normal,Iteration and Timestep,635.0170499
2060,DROUGHT: Medium Severity [Type],94.04585364,Normal,Iteration and Timestep,47.02292682
2061,DROUGHT: Medium Severity [Type],37.05795753,Normal,Iteration and Timestep,18.52897876
2062,DROUGHT: Medium Severity [Type],54.8622343,Normal,Iteration and Timestep,27.43111715
2063,DROUGHT: Medium Severity [Type],146.3052568,Normal,Iteration and Timestep,73.15262841
2064,DROUGHT: Medium Severity [Type],357.6231102,Normal,Iteration and Timestep,178.8115551
2065,DROUGHT: Medium Severity [Type],2882.310907,Normal,Iteration and Timestep,1441.155453
2066,DROUGHT: Medium Severity [Type],898.7723804,Normal,Iteration and Timestep,449.3861902
2067,DROUGHT: Medium Severity [Type],216.962488,Normal,Iteration and Timestep,108.481244
2068,DROUGHT: Medium Severity [Type],91.6256274,Normal,Iteration and Timestep,45.8128137
2069,DROUGHT: Medium Severity [Type],342.3390127,Normal,Iteration and Timestep,171.1695064
2070,DROUGHT: Medium Severity [Type],438.1219922,Normal,Iteration and Timestep,219.0609961
2071,DROUGHT: Medium Severity [Type],205.863094,Normal,Iteration and Timestep,102.931547
2072,DROUGHT: Medium Severity [Type],118.9744982,Normal,Iteration and Timestep,59.4872491
2073,DROUGHT: Medium Severity [Type],216.1533254,Normal,Iteration and Timestep,108.0766627
2074,DROUGHT: Medium Severity [Type],56.93008176,Normal,Iteration and Timestep,28.46504088
2075,DROUGHT: Medium Severity [Type],55.30387941,Normal,Iteration and Timestep,27.65193971
2076,DROUGHT: Medium Severity [Type],49.40965859,Normal,Iteration and Timestep,24.70482929
2077,DROUGHT: Medium Severity [Type],48.63435777,Normal,Iteration and Timestep,24.31717888
2078,DROUGHT: Medium Severity [Type],57.02750715,Normal,Iteration and Timestep,28.51375357
2079,DROUGHT: Medium Severity [Type],50.45262827,Normal,Iteration and Timestep,25.22631414
2080,DROUGHT: Medium Severity [Type],28.97874558,Normal,Iteration and Timestep,14.48937279
2081,DROUGHT: Medium Severity [Type],315.7313055,Normal,Iteration and Timestep,157.8656528
2082,DROUGHT: Medium Severity [Type],422.4848133,Normal,Iteration and Timestep,211.2424067
2083,DROUGHT: Medium Severity [Type],45.47776217,Normal,Iteration and Timestep,22.73888109
2084,DROUGHT: Medium Severity [Type],49.15333905,Normal,Iteration and Timestep,24.57666952
2085,DROUGHT: Medium Severity [Type],119.1621968,Normal,Iteration and Timestep,59.58109842
2086,DROUGHT: Medium Severity [Type],198.8553279,Normal,Iteration and Timestep,99.42766393
2087,DROUGHT: Medium Severity [Type],546.7833918,Normal,Iteration and Timestep,273.3916959
2088,DROUGHT: Medium Severity [Type],905.367847,Normal,Iteration and Timestep,452.6839235
2089,DROUGHT: Medium Severity [Type],1966.050519,Normal,Iteration and Timestep,983.0252593
2090,DROUGHT: Medium Severity [Type],1269.669748,Normal,Iteration and Timestep,634.8348741
2091,DROUGHT: Medium Severity [Type],243.80656,Normal,Iteration and Timestep,121.90328
2092,DROUGHT: Medium Severity [Type],64.34445075,Normal,Iteration and Timestep,32.17222537
2093,DROUGHT: Medium Severity [Type],222.2945593,Normal,Iteration and Timestep,111.1472796
2094,DROUGHT: Medium Severity [Type],592.1881259,Normal,Iteration and Timestep,296.094063
2095,DROUGHT: Medium Severity [Type],482.4394539,Normal,Iteration and Timestep,241.2197269
2096,DROUGHT: Medium Severity [Type],5743.710823,Normal,Iteration and Timestep,2871.855412
