Timestep,TransitionGroupID,Amount,DistributionType,DistributionFrequencyID,DistributionSD
2084,DROUGHT: Medium Severity [Type],193.7800381,Normal,Iteration and Timestep,96.89001903
2085,DROUGHT: Medium Severity [Type],4826.787076,Normal,Iteration and Timestep,2413.393538
2086,DROUGHT: Medium Severity [Type],1625.950977,Normal,Iteration and Timestep,812.9754887
2087,DROUGHT: Medium Severity [Type],332.5290976,Normal,Iteration and Timestep,166.2645488
2088,DROUGHT: Medium Severity [Type],130.5856288,Normal,Iteration and Timestep,65.2928144
2089,DROUGHT: Medium Severity [Type],22.77783094,Normal,Iteration and Timestep,11.38891547
2090,DROUGHT: Medium Severity [Type],4.536138039,Normal,Iteration and Timestep,2.268069019
2091,DROUGHT: Medium Severity [Type],2.363804549,Normal,Iteration and Timestep,1.181902274
2092,DROUGHT: Medium Severity [Type],4.334095511,Normal,Iteration and Timestep,2.167047755
2093,DROUGHT: Medium Severity [Type],3.639684578,Normal,Iteration and Timestep,1.819842289
2094,DROUGHT: Medium Severity [Type],6.790200759,Normal,Iteration and Timestep,3.395100379
2095,DROUGHT: Medium Severity [Type],15.53460947,Normal,Iteration and Timestep,7.767304737
2096,DROUGHT: Medium Severity [Type],150.1631721,Normal,Iteration and Timestep,75.08158606
2097,DROUGHT: Medium Severity [Type],387.2359879,Normal,Iteration and Timestep,193.617994
2098,DROUGHT: Medium Severity [Type],180.0436443,Normal,Iteration and Timestep,90.02182213
2099,DROUGHT: Medium Severity [Type],222.7204016,Normal,Iteration and Timestep,111.3602008
2100,DROUGHT: Medium Severity [Type],621.8768798,Normal,Iteration and Timestep,310.9384399
2017,DROUGHT: Low Severity [Type],5968.557117,Normal,Iteration and Timestep,2984.278559
2018,DROUGHT: Low Severity [Type],4513.801989,Normal,Iteration and Timestep,2256.900994
2019,DROUGHT: Low Severity [Type],4279.670309,Normal,Iteration and Timestep,2139.835155
2020,DROUGHT: Low Severity [Type],3778.412726,Normal,Iteration and Timestep,1889.206363
2021,DROUGHT: Low Severity [Type],5156.947719,Normal,Iteration and Timestep,2578.473859
2022,DROUGHT: Low Severity [Type],5385.254578,Normal,Iteration and Timestep,2692.627289
2023,DROUGHT: Low Severity [Type],7823.934662,Normal,Iteration and Timestep,3911.967331
2024,DROUGHT: Low Severity [Type],9505.326252,Normal,Iteration and Timestep,4752.663126
2025,DROUGHT: Low Severity [Type],11621.74149,Normal,Iteration and Timestep,5810.870744
2026,DROUGHT: Low Severity [Type],9072.053564,Normal,Iteration and Timestep,4536.026782
2027,DROUGHT: Low Severity [Type],9628.000284,Normal,Iteration and Timestep,4814.000142
2028,DROUGHT: Low Severity [Type],10329.99514,Normal,Iteration and Timestep,5164.997571
2029,DROUGHT: Low Severity [Type],10671.52602,Normal,Iteration and Timestep,5335.763009
2030,DROUGHT: Low Severity [Type],10355.86096,Normal,Iteration and Timestep,5177.930478
2031,DROUGHT: Low Severity [Type],10697.57853,Normal,Iteration and Timestep,5348.789266
2032,DROUGHT: Low Severity [Type],7356.158046,Normal,Iteration and Timestep,3678.079023
2033,DROUGHT: Low Severity [Type],6738.105553,Normal,Iteration and Timestep,3369.052776
2034,DROUGHT: Low Severity [Type],5166.761489,Normal,Iteration and Timestep,2583.380745
2035,DROUGHT: Low Severity [Type],4199.890294,Normal,Iteration and Timestep,2099.945147
2036,DROUGHT: Low Severity [Type],3931.584114,Normal,Iteration and Timestep,1965.792057
2037,DROUGHT: Low Severity [Type],5179.327782,Normal,Iteration and Timestep,2589.663891
2038,DROUGHT: Low Severity [Type],5746.30742,Normal,Iteration and Timestep,2873.15371
2039,DROUGHT: Low Severity [Type],5341.948423,Normal,Iteration and Timestep,2670.974211
2040,DROUGHT: Low Severity [Type],8419.778393,Normal,Iteration and Timestep,4209.889196
2041,DROUGHT: Low Severity [Type],9941.213897,Normal,Iteration and Timestep,4970.606949
2042,DROUGHT: Low Severity [Type],9191.429478,Normal,Iteration and Timestep,4595.714739
2043,DROUGHT: Low Severity [Type],8315.646908,Normal,Iteration and Timestep,4157.823454
2044,DROUGHT: Low Severity [Type],8736.816109,Normal,Iteration and Timestep,4368.408054
2045,DROUGHT: Low Severity [Type],7585.404349,Normal,Iteration and Timestep,3792.702175
2046,DROUGHT: Low Severity [Type],6657.926802,Normal,Iteration and Timestep,3328.963401
2047,DROUGHT: Low Severity [Type],7119.184319,Normal,Iteration and Timestep,3559.592159
2048,DROUGHT: Low Severity [Type],8001.553473,Normal,Iteration and Timestep,4000.776737
2049,DROUGHT: Low Severity [Type],9953.75992,Normal,Iteration and Timestep,4976.87996
2050,DROUGHT: Low Severity [Type],9401.977786,Normal,Iteration and Timestep,4700.988893
2051,DROUGHT: Low Severity [Type],5152.897167,Normal,Iteration and Timestep,2576.448584
2052,DROUGHT: Low Severity [Type],6818.080688,Normal,Iteration and Timestep,3409.040344
2053,DROUGHT: Low Severity [Type],6448.106368,Normal,Iteration and Timestep,3224.053184
2054,DROUGHT: Low Severity [Type],7807.389933,Normal,Iteration and Timestep,3903.694967
2055,DROUGHT: Low Severity [Type],6505.626516,Normal,Iteration and Timestep,3252.813258
2056,DROUGHT: Low Severity [Type],10409.98738,Normal,Iteration and Timestep,5204.993691
2057,DROUGHT: Low Severity [Type],5431.820882,Normal,Iteration and Timestep,2715.910441
2058,DROUGHT: Low Severity [Type],5094.225026,Normal,Iteration and Timestep,2547.112513
2059,DROUGHT: Low Severity [Type],3244.862627,Normal,Iteration and Timestep,1622.431313
2060,DROUGHT: Low Severity [Type],2896.096271,Normal,Iteration and Timestep,1448.048136
2061,DROUGHT: Low Severity [Type],3041.643311,Normal,Iteration and Timestep,1520.821655
2062,DROUGHT: Low Severity [Type],4922.610346,Normal,Iteration and Timestep,2461.305173
2063,DROUGHT: Low Severity [Type],4208.51165,Normal,Iteration and Timestep,2104.255825
2064,DROUGHT: Low Severity [Type],7622.936096,Normal,Iteration and Timestep,3811.468048
2065,DROUGHT: Low Severity [Type],8939.560815,Normal,Iteration and Timestep,4469.780407
2066,DROUGHT: Low Severity [Type],10944.80128,Normal,Iteration and Timestep,5472.40064
2067,DROUGHT: Low Severity [Type],8291.383436,Normal,Iteration and Timestep,4145.691718
2068,DROUGHT: Low Severity [Type],13005.95491,Normal,Iteration and Timestep,6502.977457
2069,DROUGHT: Low Severity [Type],7006.261569,Normal,Iteration and Timestep,3503.130785
2070,DROUGHT: Low Severity [Type],5961.263113,Normal,Iteration and Timestep,2980.631556
2071,DROUGHT: Low Severity [Type],8769.999472,Normal,Iteration and Timestep,4384.999736
2072,DROUGHT: Low Severity [Type],7836.718985,Normal,Iteration and Timestep,3918.359493
2073,DROUGHT: Low Severity [Type],6450.017057,Normal,Iteration and Timestep,3225.008528
2074,DROUGHT: Low Severity [Type],7030.893772,Normal,Iteration and Timestep,3515.446886
2075,DROUGHT: Low Severity [Type],6104.246117,Normal,Iteration and Timestep,3052.123058
2076,DROUGHT: Low Severity [Type],4653.155989,Normal,Iteration and Timestep,2326.577995
2077,DROUGHT: Low Severity [Type],4869.9948,Normal,Iteration and Timestep,2434.9974
2078,DROUGHT: Low Severity [Type],5281.028641,Normal,Iteration and Timestep,2640.514321
2079,DROUGHT: Low Severity [Type],5176.361909,Normal,Iteration and Timestep,2588.180955
2080,DROUGHT: Low Severity [Type],3837.239117,Normal,Iteration and Timestep,1918.619559
2081,DROUGHT: Low Severity [Type],3474.177102,Normal,Iteration and Timestep,1737.088551
2082,DROUGHT: Low Severity [Type],3276.477997,Normal,Iteration and Timestep,1638.238998
2083,DROUGHT: Low Severity [Type],4154.958789,Normal,Iteration and Timestep,2077.479394
2084,DROUGHT: Low Severity [Type],6579.737962,Normal,Iteration and Timestep,3289.868981
2085,DROUGHT: Low Severity [Type],14134.4483,Normal,Iteration and Timestep,7067.224151
2086,DROUGHT: Low Severity [Type],10844.03666,Normal,Iteration and Timestep,5422.018329
2087,DROUGHT: Low Severity [Type],7468.148732,Normal,Iteration and Timestep,3734.074366
2088,DROUGHT: Low Severity [Type],5805.314355,Normal,Iteration and Timestep,2902.657178
2089,DROUGHT: Low Severity [Type],3787.525668,Normal,Iteration and Timestep,1893.762834
2090,DROUGHT: Low Severity [Type],2479.15585,Normal,Iteration and Timestep,1239.577925
2091,DROUGHT: Low Severity [Type],2104.279729,Normal,Iteration and Timestep,1052.139864
2092,DROUGHT: Low Severity [Type],2477.590095,Normal,Iteration and Timestep,1238.795047
2093,DROUGHT: Low Severity [Type],2426.07617,Normal,Iteration and Timestep,1213.038085
2094,DROUGHT: Low Severity [Type],2540.240398,Normal,Iteration and Timestep,1270.120199
2095,DROUGHT: Low Severity [Type],2965.270983,Normal,Iteration and Timestep,1482.635491
2096,DROUGHT: Low Severity [Type],5892.983531,Normal,Iteration and Timestep,2946.491766
2097,DROUGHT: Low Severity [Type],7681.302165,Normal,Iteration and Timestep,3840.651083
2098,DROUGHT: Low Severity [Type],6116.1861,Normal,Iteration and Timestep,3058.09305
2099,DROUGHT: Low Severity [Type],6280.826854,Normal,Iteration and Timestep,3140.413427
2100,DROUGHT: Low Severity [Type],8064.701315,Normal,Iteration and Timestep,4032.350657
