Timestep,TransitionGroupID,Amount,DistributionType,DistributionFrequencyID,DistributionSD
2074,DROUGHT: Medium Severity [Type],523.9360611,Normal,Iteration and Timestep,261.9680305
2075,DROUGHT: Medium Severity [Type],439.6995404,Normal,Iteration and Timestep,219.8497702
2076,DROUGHT: Medium Severity [Type],1189.982856,Normal,Iteration and Timestep,594.9914278
2077,DROUGHT: Medium Severity [Type],117.1700613,Normal,Iteration and Timestep,58.58503064
2078,DROUGHT: Medium Severity [Type],151.0224147,Normal,Iteration and Timestep,75.51120735
2079,DROUGHT: Medium Severity [Type],154.9323974,Normal,Iteration and Timestep,77.46619869
2080,DROUGHT: Medium Severity [Type],37.36365447,Normal,Iteration and Timestep,18.68182723
2081,DROUGHT: Medium Severity [Type],9.460322445,Normal,Iteration and Timestep,4.730161222
2082,DROUGHT: Medium Severity [Type],46.25652556,Normal,Iteration and Timestep,23.12826278
2083,DROUGHT: Medium Severity [Type],22.27583938,Normal,Iteration and Timestep,11.13791969
2084,DROUGHT: Medium Severity [Type],8.02599013,Normal,Iteration and Timestep,4.012995065
2085,DROUGHT: Medium Severity [Type],33.0351487,Normal,Iteration and Timestep,16.51757435
2086,DROUGHT: Medium Severity [Type],18.8005796,Normal,Iteration and Timestep,9.400289799
2087,DROUGHT: Medium Severity [Type],24.52403254,Normal,Iteration and Timestep,12.26201627
2088,DROUGHT: Medium Severity [Type],7.489575848,Normal,Iteration and Timestep,3.744787924
2089,DROUGHT: Medium Severity [Type],10.41191555,Normal,Iteration and Timestep,5.205957773
2090,DROUGHT: Medium Severity [Type],10.15072585,Normal,Iteration and Timestep,5.075362927
2091,DROUGHT: Medium Severity [Type],252.039503,Normal,Iteration and Timestep,126.0197515
2092,DROUGHT: Medium Severity [Type],603.8358201,Normal,Iteration and Timestep,301.9179101
2093,DROUGHT: Medium Severity [Type],500.0902362,Normal,Iteration and Timestep,250.0451181
2094,DROUGHT: Medium Severity [Type],772.0553644,Normal,Iteration and Timestep,386.0276822
2095,DROUGHT: Medium Severity [Type],966.4275285,Normal,Iteration and Timestep,483.2137643
2096,DROUGHT: Medium Severity [Type],768.5707753,Normal,Iteration and Timestep,384.2853876
2097,DROUGHT: Medium Severity [Type],200.3977396,Normal,Iteration and Timestep,100.1988698
2098,DROUGHT: Medium Severity [Type],293.1160503,Normal,Iteration and Timestep,146.5580252
2099,DROUGHT: Medium Severity [Type],253.4512489,Normal,Iteration and Timestep,126.7256244
2100,DROUGHT: Medium Severity [Type],407.6377988,Normal,Iteration and Timestep,203.8188994
2017,DROUGHT: Low Severity [Type],3390.62657,Normal,Iteration and Timestep,1695.313285
2018,DROUGHT: Low Severity [Type],3621.519542,Normal,Iteration and Timestep,1810.759771
2019,DROUGHT: Low Severity [Type],4008.624624,Normal,Iteration and Timestep,2004.312312
2020,DROUGHT: Low Severity [Type],6042.584925,Normal,Iteration and Timestep,3021.292462
2021,DROUGHT: Low Severity [Type],13363.08202,Normal,Iteration and Timestep,6681.54101
2022,DROUGHT: Low Severity [Type],9602.923811,Normal,Iteration and Timestep,4801.461906
2023,DROUGHT: Low Severity [Type],9113.420167,Normal,Iteration and Timestep,4556.710083
2024,DROUGHT: Low Severity [Type],8040.79509,Normal,Iteration and Timestep,4020.397545
2025,DROUGHT: Low Severity [Type],8972.480509,Normal,Iteration and Timestep,4486.240255
2026,DROUGHT: Low Severity [Type],6259.539066,Normal,Iteration and Timestep,3129.769533
2027,DROUGHT: Low Severity [Type],9311.359708,Normal,Iteration and Timestep,4655.679854
2028,DROUGHT: Low Severity [Type],7186.808647,Normal,Iteration and Timestep,3593.404323
2029,DROUGHT: Low Severity [Type],6437.362603,Normal,Iteration and Timestep,3218.681301
2030,DROUGHT: Low Severity [Type],5855.28555,Normal,Iteration and Timestep,2927.642775
2031,DROUGHT: Low Severity [Type],8859.873173,Normal,Iteration and Timestep,4429.936586
2032,DROUGHT: Low Severity [Type],8146.395158,Normal,Iteration and Timestep,4073.197579
