Iteration,Timestep,StratumID,SecondaryStratumID,TertiaryStratumID,TransitionGroupID,Amount,DistributionType,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
,2015,,Trinity,,URBANIZATION,0,,,,,
,2015,,Tulare,,URBANIZATION,1.9345,,,,,
,2015,,Tuolumne,,URBANIZATION,0,,,,,
,2015,,Ventura,,URBANIZATION,3.1225,,,,,
,2015,,Yolo,,URBANIZATION,1.7459,,,,,
,2015,,Yuba,,URBANIZATION,0.3355,,,,,
,2016,,Alameda,,URBANIZATION,8.9927,,,,,
,2016,,Alpine,,URBANIZATION,0,,,,,
,2016,,Amador,,URBANIZATION,0.0208,,,,,
,2016,,Butte,,URBANIZATION,0.8079,,,,,
,2016,,Calaveras,,URBANIZATION,0,,,,,
,2016,,Colusa,,URBANIZATION,0.1623,,,,,
,2016,,Contra Costa,,URBANIZATION,8.3413,,,,,
,2016,,Del Norte,,URBANIZATION,0.0523,,,,,
,2016,,El Dorado,,URBANIZATION,0.4466,,,,,
,2016,,Fresno,,URBANIZATION,6.1476,,,,,
,2016,,Glenn,,URBANIZATION,0.1519,,,,,
,2016,,Humboldt,,URBANIZATION,0.3497,,,,,
,2016,,Imperial,,URBANIZATION,1.6832,,,,,
,2016,,Inyo,,URBANIZATION,0.0541,,,,,
,2016,,Kern,,URBANIZATION,6.8613,,,,,
,2016,,Kings,,URBANIZATION,0.5942,,,,,
,2016,,Lake,,URBANIZATION,0.3445,,,,,
,2016,,Lassen,,URBANIZATION,0,,,,,
,2016,,Los Angeles,,URBANIZATION,18.3084,,,,,
,2016,,Madera,,URBANIZATION,0.6147,,,,,
,2016,,Marin,,URBANIZATION,1.0341,,,,,
,2016,,Mariposa,,URBANIZATION,0,,,,,
,2016,,Mendocino,,URBANIZATION,0.1039,,,,,
,2016,,Merced,,URBANIZATION,1.6815,,,,,
,2016,,Modoc,,URBANIZATION,0.0028,,,,,
,2016,,Mono,,URBANIZATION,0,,,,,
,2016,,Monterey,,URBANIZATION,3.7732,,,,,
,2016,,Napa,,URBANIZATION,0.9163,,,,,
,2016,,Nevada,,URBANIZATION,0,,,,,
,2016,,Orange,,URBANIZATION,10.4191,,,,,
,2016,,Placer,,URBANIZATION,3.1015,,,,,
,2016,,Plumas,,URBANIZATION,0.0244,,,,,
,2016,,Riverside,,URBANIZATION,21.6171,,,,,
,2016,,Sacramento,,URBANIZATION,9.0794,,,,,
,2016,,San Benito,,URBANIZATION,0.5516,,,,,
,2016,,San Bernardino,,URBANIZATION,13.654,,,,,
,2016,,San Diego,,URBANIZATION,16.5092,,,,,
,2016,,San Francisco,,URBANIZATION,1.4717,,,,,
,2016,,San Joaquin,,URBANIZATION,6.5533,,,,,
,2016,,San Luis Obispo,,URBANIZATION,1.8899,,,,,
