GCM,RCP,CFE,Source,Timestep,Mean,Lower,Upper,Mean2,Mean10
CanESM2,rcp45,Medium,LUCAS CFE,2035,108.01488801619846,106.73472993367578,108.96210482385304,0.766221983557125,149.95366341980846
CanESM2,rcp45,Medium,LUCAS CFE,2036,167.95499219766856,166.81144664163378,168.88877936733576,1.1914173095353295,152.74089211002618
CanESM2,rcp45,Medium,LUCAS CFE,2037,112.4918409595897,111.67010335370497,113.18728193705877,0.7979800108770507,159.92701082095863
CanESM2,rcp45,Medium,LUCAS CFE,2038,150.22778346791745,149.32746499576103,150.99432688035048,1.0656663386709788,166.1706001427684
CanESM2,rcp45,Medium,LUCAS CFE,2039,171.23841566628494,170.4662853750384,172.02394405024737,1.214708832483573,162.7570885242889
CanESM2,rcp45,Medium,LUCAS CFE,2040,180.2104395378441,179.5381668311375,181.0333545454821,1.2783534101306564,167.40722268334872
CanESM2,rcp45,Medium,LUCAS CFE,2041,224.74864225839823,223.89714792793683,225.68835490096615,1.594292727935574,163.35354874511884
CanESM2,rcp45,Medium,LUCAS CFE,2042,181.5544651598189,180.89737289304793,182.22384481436063,1.2878874845247963,169.36120169104404
CanESM2,rcp45,Medium,LUCAS CFE,2043,189.4357519177108,188.3673112772247,190.608908709984,1.343794732900676,168.51584315682652
CanESM2,rcp45,Medium,LUCAS CFE,2044,141.69366606145763,140.12548739075302,143.54014794047197,1.0051281250304074,165.53708291060173
CanESM2,rcp45,Medium,LUCAS CFE,2045,154.51622960679663,153.07263741810175,156.63755080501699,1.0960871609044576,161.3058473768331
CanESM2,rcp45,Medium,LUCAS CFE,2046,127.41825281536978,125.25651788153158,129.68968902500373,0.90386305264636,152.51797999498768
CanESM2,rcp45,Medium,LUCAS CFE,2047,172.56837041884188,170.31484642732556,174.7009081477957,1.2241430927717714,150.20769357650823
CanESM2,rcp45,Medium,LUCAS CFE,2048,141.77419812574226,139.4244580839856,143.7995648605207,1.0056993929284666,146.02319925721918
CanESM2,rcp45,Medium,LUCAS CFE,2049,141.45081320403688,139.200224812363,143.23726343418497,1.0034054069723415,148.46193075594343
CanESM2,rcp45,Medium,LUCAS CFE,2050,137.89808420015774,135.92134903825206,139.48555680520315,0.9782035193956496,155.025666362264
CanESM2,rcp45,Medium,LUCAS CFE,2051,136.86996843994436,134.86403713776537,138.61337201615652,0.9709104053482703,164.56654912167934
CanESM2,rcp45,Medium,LUCAS CFE,2052,158.4516009750244,156.5593086182415,160.05043271041478,1.1240033871874975,159.63473525237683
CanESM2,rcp45,Medium,LUCAS CFE,2053,147.59080872482014,145.82238782314627,149.3005352844313,1.0469605097305918,164.64678737715064
CanESM2,rcp45,Medium,LUCAS CFE,2054,166.08098104870007,163.99948347361646,167.88320167151466,1.1781236926447072,161.85074996853083
CanESM2,rcp45,Medium,LUCAS CFE,2055,220.15358567000234,217.62184837812566,222.45711316817926,1.5616969123181017,162.71066104710783
CanESM2,rcp45,Medium,LUCAS CFE,2056,222.82708040952326,219.9595280441638,224.8089432420146,1.580661802065875,166.99579338358953
CanESM2,rcp45,Medium,LUCAS CFE,2057,123.25023172581658,121.76347585139428,124.48468777528373,0.8742964859868968,167.17166256105165
CanESM2,rcp45,Medium,LUCAS CFE,2058,191.89471937348063,190.00723855119548,193.85072878927082,1.361237836865935,172.39262123983386
CanESM2,rcp45,Medium,LUCAS CFE,2059,113.49043911783873,112.15315658644417,114.53784946410593,0.805063736793383,177.7880991991447
CanESM2,rcp45,Medium,LUCAS CFE,2060,146.49719498592762,144.95119511280615,147.91138559642292,1.0392027746289836,174.11819208039324
CanESM2,rcp45,Medium,LUCAS CFE,2061,179.72129180476153,178.21419317182531,181.82852750050446,1.2748835574725785,173.00169689659995
CanESM2,rcp45,Medium,LUCAS CFE,2062,160.2102927496456,158.8739404181968,161.97247280217664,1.136478966478139,178.95464013332182
CanESM2,rcp45,Medium,LUCAS CFE,2063,199.80039551264218,198.2514778220705,202.0681670904254,1.4173180954669549,179.67853956803958
CanESM2,rcp45,Medium,LUCAS CFE,2064,220.0357606418085,218.54464438347185,222.34292253691916,1.5608611004363007,178.0216339229696
CanESM2,rcp45,Medium,LUCAS CFE,2065,183.45451448248758,181.83643299766865,185.34776879970178,1.301365807630156,183.84874852465748
CanESM2,rcp45,Medium,LUCAS CFE,2066,211.66212857159036,210.00969331927354,214.10577918605318,1.5014613168300082,184.37695767365202
CanESM2,rcp45,Medium,LUCAS CFE,2067,182.7796640930354,181.41841385873383,184.8919509407494,1.2965786415875193,179.32316538072
CanESM2,rcp45,Medium,LUCAS CFE,2068,199.1337137206583,197.59767529454123,200.97742034760802,1.4125888747600954,173.79750539258663
