Timestep,StockGroup,LULC,Mean,Lower,Upper
2008,DOM,Agriculture,13.4,13.4,13.4
2008,DOM,Barren,0,0,0
2008,DOM,Developed,0,0,0
2008,DOM,Forest,329.3,328.8,329.8
2008,DOM,Grassland,11.2,11.2,11.3
2008,DOM,Shrubland,28.3,28.2,28.4
2008,DOM,SnowIce,0,0,0
2008,DOM,Water,0,0,0
2008,DOM,Wetland,0,0,0
2008,Live,Agriculture,43.7,43.5,43.8
2008,Live,Barren,0,0,0
2008,Live,Developed,0.2,0.1,0.2
2008,Live,Forest,1592.6,1590.8,1594.3
2008,Live,Grassland,11.4,11.4,11.4
2008,Live,Shrubland,108.5,108.4,108.6
2008,Live,SnowIce,0,0,0
2008,Live,Water,0,0,0
2008,Live,Wetland,0.1,0,0.1
2008,Soil,Agriculture,402.9,402,403.7
2008,Soil,Barren,0,0,0
2008,Soil,Developed,6.6,6.2,7.1
2008,Soil,Forest,1515.9,1515.4,1516.3
2008,Soil,Grassland,353.3,352.6,353.9
2008,Soil,Shrubland,342.9,342.6,343.3
2008,Soil,SnowIce,0,0,0
2008,Soil,Water,0,0,0
2008,Soil,Wetland,1.2,0.9,1.6
2009,DOM,Agriculture,12.7,12.7,12.8
2009,DOM,Barren,0,0,0
2009,DOM,Developed,0,0,0
2009,DOM,Forest,330.8,330.3,331.4
2009,DOM,Grassland,11.4,11.4,11.5
2009,DOM,Shrubland,28,28,28.1
2009,DOM,SnowIce,0,0,0
2009,DOM,Water,0,0,0
2009,DOM,Wetland,0,0,0
2009,Live,Agriculture,45.2,44.9,45.6
2009,Live,Barren,0,0,0
2009,Live,Developed,0.2,0.2,0.2
2009,Live,Forest,1579.7,1577.8,1581.7
2009,Live,Grassland,10.9,10.9,10.9
2009,Live,Shrubland,105.1,104.9,105.2
2009,Live,SnowIce,0,0,0
2009,Live,Water,0,0,0
2009,Live,Wetland,0.1,0,0.1
2009,Soil,Agriculture,400,399,400.9
2009,Soil,Barren,0,0,0
2009,Soil,Developed,7.1,6.7,7.5
2009,Soil,Forest,1514.5,1514,1514.9
2009,Soil,Grassland,352.4,351.7,353
2009,Soil,Shrubland,342.7,342.4,343
2009,Soil,SnowIce,0,0,0
2009,Soil,Water,0,0,0
2009,Soil,Wetland,1.4,1,1.8
2010,DOM,Agriculture,13.2,13.1,13.2
2010,DOM,Barren,0,0,0
2010,DOM,Developed,0,0,0
2010,DOM,Forest,336.1,335.5,336.6
2010,DOM,Grassland,11.9,11.9,11.9
2010,DOM,Shrubland,28.1,28.1,28.1
2010,DOM,SnowIce,0,0,0
2010,DOM,Water,0,0,0
2010,DOM,Wetland,0,0,0
2010,Live,Agriculture,63,62.4,63.5
2010,Live,Barren,0,0,0
2010,Live,Developed,0.2,0.2,0.2
2010,Live,Forest,1603.7,1601.6,1605.8
2010,Live,Grassland,19.1,19.1,19.1
2010,Live,Shrubland,113.6,113.4,113.7
2010,Live,SnowIce,0,0,0
2010,Live,Water,0,0,0
2010,Live,Wetland,0.1,0.1,0.1
2010,Soil,Agriculture,397.2,396.3,398.3
2010,Soil,Barren,0,0,0
2010,Soil,Developed,7.5,7.1,7.9
2010,Soil,Forest,1513.4,1513,1513.9
2010,Soil,Grassland,351.4,350.7,352.2
2010,Soil,Shrubland,342.3,342,342.7
2010,Soil,SnowIce,0,0,0
2010,Soil,Water,0,0,0
2010,Soil,Wetland,1.5,1.1,1.9
2011,DOM,Agriculture,17.5,17.4,17.6
2011,DOM,Barren,0,0,0
2011,DOM,Developed,0,0,0
2011,DOM,Forest,339.2,338.7,339.7
