LUC,GCM,RCP,CFE,CFERate,Timestep,Mean,Lower,Upper
BAU,CanESM2,rcp45,High,0.001363884,2069,4936.443473164988,4905.713578661874,4958.930185629852
BAU,CanESM2,rcp45,High,0.001363884,2070,4976.067565246685,4945.066924062572,4995.075571107041
BAU,CanESM2,rcp45,High,0.001363884,2071,4988.249121994656,4953.626201260061,5009.626470037091
BAU,CanESM2,rcp45,High,0.001363884,2072,4927.256860277052,4891.936091641807,4951.0118739653635
BAU,CanESM2,rcp45,High,0.001363884,2073,4913.192601925184,4881.6374636558385,4936.812191541271
BAU,CanESM2,rcp45,High,0.001363884,2074,4915.146603597897,4883.944012101234,4937.222361930026
BAU,CanESM2,rcp45,High,0.001363884,2075,4966.58328683325,4934.677713652081,4989.592266828598
BAU,CanESM2,rcp45,High,0.001363884,2076,4977.554016562793,4950.883310953586,4999.941265156002
BAU,CanESM2,rcp45,High,0.001363884,2077,4997.8068315407045,4969.1101188872835,5020.089154809901
BAU,CanESM2,rcp45,High,0.001363884,2078,5083.45937085909,5053.326380534867,5103.898413660846
BAU,CanESM2,rcp45,High,0.001363884,2079,5112.243628081911,5084.542344577725,5132.851042172098
BAU,CanESM2,rcp45,High,0.001363884,2080,5055.337357548734,5027.197272064661,5080.122814623955
BAU,CanESM2,rcp45,High,0.001363884,2081,5071.413817360936,5039.095686076842,5099.61388846984
BAU,CanESM2,rcp45,High,0.001363884,2082,5127.767187669339,5093.92648098029,5159.246796459643
BAU,CanESM2,rcp45,High,0.001363884,2083,5064.3316749976,5031.024420828632,5094.771933368029
BAU,CanESM2,rcp45,High,0.001363884,2084,5057.956677257245,5024.417960380894,5085.33852509878
BAU,CanESM2,rcp45,High,0.001363884,2085,5103.967213851269,5074.73179073825,5136.664534599224
BAU,CanESM2,rcp45,High,0.001363884,2086,5089.271502629418,5056.437406893525,5123.393298972946
BAU,CanESM2,rcp45,High,0.001363884,2087,5156.961624450549,5126.339482965808,5192.0014573250555
BAU,CanESM2,rcp45,High,0.001363884,2088,5161.559622804676,5137.80895565175,5197.415002009264
BAU,CanESM2,rcp45,High,0.001363884,2089,5150.183391732304,5124.9945639011,5187.527798176906
BAU,CanESM2,rcp45,High,0.001363884,2090,5079.886876479053,5056.378561944262,5114.724250334221
BAU,CanESM2,rcp45,High,0.001363884,2091,5054.51773720226,5026.804743204196,5089.506780853394
BAU,CanESM2,rcp45,High,0.001363884,2092,5088.7607935253745,5056.13200191892,5122.564348225151
BAU,CanESM2,rcp45,High,0.001363884,2093,5119.97857569922,5084.826803168149,5161.466146946257
BAU,CanESM2,rcp45,High,0.001363884,2094,5117.553917275861,5079.6016225436415,5161.839180837501
BAU,CanESM2,rcp45,High,0.001363884,2095,5069.526730464397,5032.969018305197,5110.793313005083
BAU,CanESM2,rcp45,High,0.001363884,2096,5033.413057816845,4999.219132187096,5075.363283392597
BAU,CanESM2,rcp45,High,0.001363884,2097,5054.35869950436,5018.117203294032,5096.813123471682
BAU,CanESM2,rcp45,High,0.001363884,2098,5104.779046685244,5063.066220565936,5149.864387041068
BAU,CanESM2,rcp45,High,0.001363884,2099,5080.995147032934,5039.337192596412,5118.743978034128
BAU,CanESM2,rcp45,High,0.001363884,2100,5076.213644728988,5033.962954258253,5114.001833637189
