GCM,RCP,Year,Mean,Mean5,Mean10,Variable
CNRM-CM5,rcp85,2028,666.6662933245888,846.5056121125774,757.4539284512978,Precipitation
HadGEM2-ES,rcp45,2028,664.2242910249049,572.1788991521048,571.9065832364128,Precipitation
HadGEM2-ES,rcp85,2028,577.0220138311554,681.2571615188274,670.4824200950587,Precipitation
MIROC5,rcp45,2028,662.9840077002358,628.4681214825216,621.7264400672134,Precipitation
MIROC5,rcp85,2028,791.8755234753382,584.8706370514898,601.7092164971831,Precipitation
CanESM2-ES,rcp45,2029,469.8016429200329,679.2542726132964,618.0608508604228,Precipitation
CanESM2-ES,rcp85,2029,325.2367070384919,546.3391649690748,632.6986549146358,Precipitation
CNRM-CM5,rcp45,2029,612.320582001917,817.740607350403,821.9406706355339,Precipitation
CNRM-CM5,rcp85,2029,974.4399207745362,794.318380441832,745.6979877436482,Precipitation
HadGEM2-ES,rcp45,2029,272.9949482759992,559.3118889522502,557.084930367879,Precipitation
HadGEM2-ES,rcp85,2029,707.7970036009798,751.8015753656002,696.6135220082746,Precipitation
MIROC5,rcp45,2029,511.9874939546349,616.026161009429,619.6594688528438,Precipitation
MIROC5,rcp85,2029,660.43748821355,623.0067526663554,572.1528903590106,Precipitation
CanESM2-ES,rcp45,2030,685.1834606088656,678.2773435677091,625.005982460586,Precipitation
CanESM2-ES,rcp85,2030,451.70639578169084,481.08046506418634,637.5043848175644,Precipitation
CNRM-CM5,rcp45,2030,1013.8008432735523,862.8450982215975,783.1699705012855,Precipitation
CNRM-CM5,rcp85,2030,631.1277709094617,715.8056553576054,750.0627838822888,Precipitation
HadGEM2-ES,rcp45,2030,553.9050574663236,539.7695659756344,551.6442796705204,Precipitation
HadGEM2-ES,rcp85,2030,1083.9995466135724,746.4049546697056,692.1912439967646,Precipitation
MIROC5,rcp45,2030,435.93627944332576,586.9715523664504,621.163156739395,Precipitation
MIROC5,rcp85,2030,389.03857901267827,597.6258437601911,578.9518362005543,Precipitation
