GCM,RCP,Year,Mean,Mean5,Mean10,Variable
MIROC5,rcp45,2052,15.490451400880573,15.600022764877307,15.700166035525347,Mean Annual Temperature
MIROC5,rcp85,2052,16.697936876388496,16.22274829079524,16.35275160523163,Mean Annual Temperature
CanESM2-ES,rcp45,2053,16.994843325414642,16.511120936317823,16.581222955137846,Mean Annual Temperature
CanESM2-ES,rcp85,2053,17.0396835807019,17.38061898612616,17.374079202348675,Mean Annual Temperature
CNRM-CM5,rcp45,2053,15.754844419434361,15.532694849527147,15.652499325711469,Mean Annual Temperature
CNRM-CM5,rcp85,2053,17.132902247837798,16.94271763446254,16.7680165143482,Mean Annual Temperature
HadGEM2-ES,rcp45,2053,16.895654474623925,16.481191596192623,16.35188761183893,Mean Annual Temperature
HadGEM2-ES,rcp85,2053,18.35240656947674,17.76499443245271,17.576593514092743,Mean Annual Temperature
MIROC5,rcp45,2053,15.136427020320353,15.512946943134871,15.660918724249747,Mean Annual Temperature
MIROC5,rcp85,2053,15.649305746632429,16.05705815290388,16.269785222108258,Mean Annual Temperature
CanESM2-ES,rcp45,2054,16.752541149562333,16.548768225858183,16.616539634949397,Mean Annual Temperature
CanESM2-ES,rcp85,2054,17.837530523725622,17.754737211695375,17.40411095828681,Mean Annual Temperature
CNRM-CM5,rcp45,2054,15.472899329059485,15.583273354392375,15.68568213867872,Mean Annual Temperature
CNRM-CM5,rcp85,2054,16.841567748677566,16.774169485546945,16.840140173723633,Mean Annual Temperature
HadGEM2-ES,rcp45,2054,17.154002587626366,16.470794896450453,16.455244087867563,Mean Annual Temperature
HadGEM2-ES,rcp85,2054,17.499712390740616,17.562984776964747,17.734053511372053,Mean Annual Temperature
MIROC5,rcp45,2054,15.878106012495124,15.610465673137512,15.68974837770417,Mean Annual Temperature
MIROC5,rcp85,2054,16.241177185055125,16.1742530937763,16.32034202544081,Mean Annual Temperature
CanESM2-ES,rcp45,2055,16.614624543657722,16.740965896515394,16.57144671010963,Mean Annual Temperature
CanESM2-ES,rcp85,2055,17.50449529773372,17.6358139928192,17.44411453585018,Mean Annual Temperature
CNRM-CM5,rcp45,2055,16.422620950124685,15.850766051242283,15.718932203797973,Mean Annual Temperature
CNRM-CM5,rcp85,2055,17.319114970483152,16.842220382302948,16.885395291437106,Mean Annual Temperature
HadGEM2-ES,rcp45,2055,15.363646418634708,16.367817420866135,16.484505933236967,Mean Annual Temperature
HadGEM2-ES,rcp85,2055,17.929644410670612,17.851491562549803,17.783119684404763,Mean Annual Temperature
MIROC5,rcp45,2055,15.146245671187586,15.624080892615225,15.736832909213037,Mean Annual Temperature
MIROC5,rcp85,2055,15.897153739592685,16.247610664756138,16.287810642449514,Mean Annual Temperature
CanESM2-ES,rcp45,2056,16.489316150537757,16.6341833057875,16.578606177572187,Mean Annual Temperature
CanESM2-ES,rcp85,2056,18.144534117200607,17.656552150671093,17.594688187337077,Mean Annual Temperature
CNRM-CM5,rcp45,2056,15.194725531991987,15.866011517867886,15.809528950594009,Mean Annual Temperature
CNRM-CM5,rcp85,2056,16.06721806193326,16.84071792336692,16.95460027641318,Mean Annual Temperature
HadGEM2-ES,rcp45,2056,15.940381981401028,16.27205875372124,16.59843575525609,Mean Annual Temperature
HadGEM2-ES,rcp85,2056,16.898637299611295,17.670893965785076,17.83962105993836,Mean Annual Temperature
MIROC5,rcp45,2056,16.40109826080392,15.728423853884635,15.700353000744652,Mean Annual Temperature
MIROC5,rcp85,2056,16.385691921212764,16.373532447256338,16.33712406540838,Mean Annual Temperature
CanESM2-ES,rcp45,2057,16.853504313404517,16.667556277399974,16.610032284220047,Mean Annual Temperature
CanESM2-ES,rcp85,2057,17.652826444734146,17.599198309286784,17.63519055401402,Mean Annual Temperature
