GCM,RCP,CFE,CFERate,Timestep,Mean,Lower,Upper,Flux,Source
CanESM2,rcp85,MedHigh,0.001091107,2072,208.21245437961016,206.9290155401328,210.14353986205722,NPP,LUCAS CFE
CanESM2,rcp85,MedHigh,0.001091107,2073,166.2552580864495,165.21728111818805,167.51932215258802,NPP,LUCAS CFE
CanESM2,rcp85,MedHigh,0.001091107,2074,176.68220453632244,175.34819181683616,178.26521915845893,NPP,LUCAS CFE
CanESM2,rcp85,MedHigh,0.001091107,2075,186.67237226741523,184.94946402544602,188.1204457989018,NPP,LUCAS CFE
CanESM2,rcp85,MedHigh,0.001091107,2076,236.83811032351917,234.59260076467285,238.44256057492026,NPP,LUCAS CFE
CanESM2,rcp85,MedHigh,0.001091107,2077,332.100733708109,329.37751386261186,335.49625103246774,NPP,LUCAS CFE
CanESM2,rcp85,MedHigh,0.001091107,2078,277.0671377320116,274.87227198040415,280.0178746671388,NPP,LUCAS CFE
CanESM2,rcp85,MedHigh,0.001091107,2079,182.3912902483195,180.94489767304344,184.21464959575837,NPP,LUCAS CFE
CanESM2,rcp85,MedHigh,0.001091107,2080,327.46959146472494,324.99106355233596,330.598056700743,NPP,LUCAS CFE
CanESM2,rcp85,MedHigh,0.001091107,2081,366.8610868848038,364.0172073048391,370.023858118681,NPP,LUCAS CFE
CanESM2,rcp85,MedHigh,0.001091107,2082,302.8148707978007,300.46465573550995,305.55377291505647,NPP,LUCAS CFE
CanESM2,rcp85,MedHigh,0.001091107,2083,159.24186881318764,157.60560632948716,160.616376969053,NPP,LUCAS CFE
CanESM2,rcp85,MedHigh,0.001091107,2084,349.47141963550797,346.9359137877801,351.55969211077587,NPP,LUCAS CFE
CanESM2,rcp85,MedHigh,0.001091107,2085,300.27621045635277,297.8851188074691,302.0045949955869,NPP,LUCAS CFE
CanESM2,rcp85,MedHigh,0.001091107,2086,224.04745966286032,222.3442190654639,225.20406278144418,NPP,LUCAS CFE
CanESM2,rcp85,MedHigh,0.001091107,2087,154.7741970552259,153.54876634504564,155.656943582187,NPP,LUCAS CFE
CanESM2,rcp85,MedHigh,0.001091107,2088,382.4425162780431,380.1788704058513,383.9709292204511,NPP,LUCAS CFE
CanESM2,rcp85,MedHigh,0.001091107,2089,342.0975461064896,339.8485331394985,343.6297365184762,NPP,LUCAS CFE
CanESM2,rcp85,MedHigh,0.001091107,2090,232.32907046706535,230.8392672859418,233.52512748669506,NPP,LUCAS CFE
CanESM2,rcp85,MedHigh,0.001091107,2091,246.5578538745017,245.3356591151666,248.27971545923486,NPP,LUCAS CFE
CanESM2,rcp85,MedHigh,0.001091107,2092,357.66012481974724,355.8502820752436,360.4085000919549,NPP,LUCAS CFE
CanESM2,rcp85,MedHigh,0.001091107,2093,234.75846785012558,233.40490955339118,236.25771277500104,NPP,LUCAS CFE
