LUC,GCM,RCP,Iteration,Amount
BAU,CNRM-CM5,rcp45,62,-94.9
BAU,CNRM-CM5,rcp45,63,-86.3
BAU,CNRM-CM5,rcp45,64,-98.7
BAU,CNRM-CM5,rcp45,65,-39.6
BAU,CNRM-CM5,rcp45,66,-120.7
BAU,CNRM-CM5,rcp45,67,-92
BAU,CNRM-CM5,rcp45,68,-82
BAU,CNRM-CM5,rcp45,69,-76.4
BAU,CNRM-CM5,rcp45,70,-83.7
BAU,CNRM-CM5,rcp45,71,-67.4
BAU,CNRM-CM5,rcp45,72,-69.1
BAU,CNRM-CM5,rcp45,73,-78.9
BAU,CNRM-CM5,rcp45,74,-72.8
BAU,CNRM-CM5,rcp45,75,-93
BAU,CNRM-CM5,rcp45,76,-43
BAU,CNRM-CM5,rcp45,77,-102.1
BAU,CNRM-CM5,rcp45,78,-92.6
BAU,CNRM-CM5,rcp45,79,-30.7
BAU,CNRM-CM5,rcp45,80,-48.4
BAU,CNRM-CM5,rcp45,81,-72.3
BAU,CNRM-CM5,rcp45,82,-59.4
BAU,CNRM-CM5,rcp45,83,-42.2
BAU,CNRM-CM5,rcp45,84,-98.9
BAU,CNRM-CM5,rcp45,85,-97.6
BAU,CNRM-CM5,rcp45,86,-91.4
BAU,CNRM-CM5,rcp45,87,-93
BAU,CNRM-CM5,rcp45,88,-97.3
BAU,CNRM-CM5,rcp45,89,-38.7
BAU,CNRM-CM5,rcp45,90,-117.2
BAU,CNRM-CM5,rcp45,91,-74
BAU,CNRM-CM5,rcp45,92,-98.6
BAU,CNRM-CM5,rcp45,93,-87.3
BAU,CNRM-CM5,rcp45,94,-75.6
BAU,CNRM-CM5,rcp45,95,-76
BAU,CNRM-CM5,rcp45,96,-85.7
BAU,CNRM-CM5,rcp45,97,-33.1
BAU,CNRM-CM5,rcp45,98,-53.5
BAU,CNRM-CM5,rcp45,99,-54
BAU,CNRM-CM5,rcp45,100,-66.1
BAU,CNRM-CM5,rcp85,1,-144
BAU,CNRM-CM5,rcp85,2,-156.9
BAU,CNRM-CM5,rcp85,3,-150.9
BAU,CNRM-CM5,rcp85,4,-172.3
BAU,CNRM-CM5,rcp85,5,-162.3
BAU,CNRM-CM5,rcp85,6,-120.1
BAU,CNRM-CM5,rcp85,7,-187.8
BAU,CNRM-CM5,rcp85,8,-152.8
BAU,CNRM-CM5,rcp85,9,-163.9
BAU,CNRM-CM5,rcp85,10,-179.8
BAU,CNRM-CM5,rcp85,11,-129.7
BAU,CNRM-CM5,rcp85,12,-139.2
BAU,CNRM-CM5,rcp85,13,-178.8
BAU,CNRM-CM5,rcp85,14,-173.2
BAU,CNRM-CM5,rcp85,15,-199.3
BAU,CNRM-CM5,rcp85,16,-159
BAU,CNRM-CM5,rcp85,17,-191.4
BAU,CNRM-CM5,rcp85,18,-184
BAU,CNRM-CM5,rcp85,19,-152.3
BAU,CNRM-CM5,rcp85,20,-165.7
BAU,CNRM-CM5,rcp85,21,-152.6
BAU,CNRM-CM5,rcp85,22,-172.2
BAU,CNRM-CM5,rcp85,23,-171
BAU,CNRM-CM5,rcp85,24,-247.7
BAU,CNRM-CM5,rcp85,25,-188.3
BAU,CNRM-CM5,rcp85,26,-194.9
BAU,CNRM-CM5,rcp85,27,-143.1
BAU,CNRM-CM5,rcp85,28,-166.6
BAU,CNRM-CM5,rcp85,29,-190.6
BAU,CNRM-CM5,rcp85,30,-162.1
BAU,CNRM-CM5,rcp85,31,-160.6
BAU,CNRM-CM5,rcp85,32,-158.4
BAU,CNRM-CM5,rcp85,33,-152.7
BAU,CNRM-CM5,rcp85,34,-152
BAU,CNRM-CM5,rcp85,35,-131.2
BAU,CNRM-CM5,rcp85,36,-180.5
BAU,CNRM-CM5,rcp85,37,-183.5
BAU,CNRM-CM5,rcp85,38,-108.6
BAU,CNRM-CM5,rcp85,39,-150.6
BAU,CNRM-CM5,rcp85,40,-123.4
BAU,CNRM-CM5,rcp85,41,-171.7
BAU,CNRM-CM5,rcp85,42,-217.4
BAU,CNRM-CM5,rcp85,43,-162.3
BAU,CNRM-CM5,rcp85,44,-195.9
