LUC,GCM,RCP,Timestep,Mean,Lower,Upper
BAU,CanESM2,rcp45,2075,4752.376776935935,4500.700866877415,4989.592266828598
BAU,CanESM2,rcp45,2076,4759.418206466597,4501.2510576313625,4999.941265156002
BAU,CanESM2,rcp45,2077,4775.373991987335,4513.292132425987,5020.089154809901
BAU,CanESM2,rcp45,2078,4852.434903717511,4577.240069600191,5103.898413660846
BAU,CanESM2,rcp45,2079,4876.486173497539,4599.084416439273,5132.851042172098
BAU,CanESM2,rcp45,2080,4820.368225986957,4547.932488775093,5080.122814623955
BAU,CanESM2,rcp45,2081,4832.865478400092,4556.188496861833,5099.61388846984
BAU,CanESM2,rcp45,2082,4882.292472892251,4599.961709299766,5159.246796459643
BAU,CanESM2,rcp45,2083,4818.289577278998,4536.788762913952,5094.771933368029
BAU,CanESM2,rcp45,2084,4809.540411297432,4526.399922822575,5085.33852509878
BAU,CanESM2,rcp45,2085,4849.183858582932,4560.456914321968,5136.664534599224
BAU,CanESM2,rcp45,2086,4832.921884347117,4548.981268910213,5123.393298972946
BAU,CanESM2,rcp45,2087,4892.866674056318,4598.846627425529,5192.0014573250555
BAU,CanESM2,rcp45,2088,4894.433925814039,4599.265767324698,5197.415002009264
BAU,CanESM2,rcp45,2089,4881.81554160539,4586.616267323236,5187.527798176906
BAU,CanESM2,rcp45,2090,4814.123518818937,4517.59245966583,5114.724250334221
BAU,CanESM2,rcp45,2091,4788.331469386915,4496.358987632565,5089.506780853394
BAU,CanESM2,rcp45,2092,4818.7864061825885,4523.16581631153,5122.564348225151
BAU,CanESM2,rcp45,2093,4845.4177316508485,4545.467659953045,5161.466146946257
BAU,CanESM2,rcp45,2094,4841.172634551283,4537.749425008166,5161.839180837501
BAU,CanESM2,rcp45,2095,4794.186301275974,4490.942905035591,5110.793313005083
BAU,CanESM2,rcp45,2096,4759.348385063471,4451.769602050473,5075.363283392597
BAU,CanESM2,rcp45,2097,4777.10987611647,4467.706134415278,5096.813123471682
