Timestep,Flux,Mean,Lower,Upper
2018,Mortality,12.5,11,14.2
2018,Mortality (Fire),1.5,0.5,3
2018,Mortality (Harvest),1.5,0.6,2.5
2018,Mortality (Insects),5.2,0.6,16.1
2018,NECB,1.3,-35.7,37.5
2018,NEP,38,0.5,79.7
2018,NPP,145.6,110.1,186.4
2018,Rh,107.6,101.8,111.7
2019,Emission (AgExpand),0.5,0.2,0.8
2019,Emission (Biomass),8.4,8.3,8.6
2019,Emission (Clearcut),0.4,0.1,0.6
2019,Emission (Fire),2.8,0.7,5.5
2019,Emission (Orchard Removal),2,0.8,3.4
2019,Emission (Urban),0.9,0.4,1.5
2019,Harvest (AgExpand),0.1,0,0.2
2019,Harvest (Clearcut),3.1,1.1,5
2019,Harvest (Grain),11.2,7.3,13.6
2019,Harvest (Straw),7.7,4.5,9.7
2019,Harvest (Thinning),0.7,0.2,1.1
2019,Harvest (Urban),0.1,0,0.2
2019,Leaching,2.2,2.2,2.2
2019,LULCC,40.1,31.6,47.9
2019,Mortality,12.9,11.2,14.8
2019,Mortality (Fire),1.8,0.4,3.5
2019,Mortality (Harvest),1.5,0.6,2.5
2019,Mortality (Insects),14.4,0.7,103.2
2019,NECB,17.9,-39.8,46.7
2019,NEP,57.9,-4.6,86.8
2019,NPP,166.2,105.1,198.2
2019,Rh,108.3,105.1,112.7
2020,Emission (AgExpand),0.5,0.2,0.8
2020,Emission (Biomass),8.4,7.6,8.6
2020,Emission (Clearcut),0.4,0.1,0.6
2020,Emission (Fire),2.1,0.8,4.2
2020,Emission (Orchard Removal),2.2,0.9,3.8
2020,Emission (Urban),0.9,0.4,1.6
2020,Harvest (AgExpand),0.1,0,0.2
2020,Harvest (Clearcut),3.1,1.1,5
2020,Harvest (Grain),10.9,6.8,15.5
2020,Harvest (Straw),7.5,4.1,11.2
2020,Harvest (Thinning),0.7,0.2,1.1
2020,Harvest (Urban),0.1,0,0.2
2020,Leaching,2.2,2.2,2.2
2020,LULCC,39,29.9,50.2
2020,Mortality,12.3,10.7,14
2020,Mortality (Fire),1.3,0.5,2.6
2020,Mortality (Harvest),1.5,0.6,2.5
2020,Mortality (Insects),25.6,0.8,222.2
2020,NECB,2.7,-46.2,59.6
2020,NEP,41.7,-12.5,106.6
2020,NPP,152.9,97.9,221.2
2020,Rh,111.2,105.3,116.5
2021,Emission (AgExpand),0.5,0.2,0.8
2021,Emission (Biomass),8.2,6.4,8.7
2021,Emission (Clearcut),0.4,0.1,0.6
2021,Emission (Fire),2.4,0.9,5
2021,Emission (Orchard Removal),2.3,1,3.8
2021,Emission (Urban),0.9,0.4,1.6
2021,Harvest (AgExpand),0.1,0,0.2
2021,Harvest (Clearcut),3,1.1,5
2021,Harvest (Grain),10.4,9.2,11.6
2021,Harvest (Straw),7.1,6.1,8.1
2021,Harvest (Thinning),0.7,0.2,1.1
2021,Harvest (Urban),0.1,0,0.2
2021,Leaching,2.2,2,2.2
2021,LULCC,38.3,32.4,43.3
2021,Mortality,12.3,9.7,14.1
2021,Mortality (Fire),1.5,0.5,3.1
2021,Mortality (Harvest),1.5,0.6,2.5
2021,Mortality (Insects),20.6,1.4,89.7
2021,NECB,-1.3,-48.1,25.9
2021,NEP,37,-10.7,64.8
2021,NPP,145.5,107.9,170.5
2021,Rh,108.6,99.4,119
2022,Emission (AgExpand),0.5,0.2,0.8
2022,Emission (Biomass),8.1,6.2,8.7
2022,Emission (Clearcut),0.4,0.1,0.6
2022,Emission (Fire),2.6,0.7,5.6
2022,Emission (Orchard Removal),2.3,0.9,3.8
2022,Emission (Urban),0.9,0.4,1.6
2022,Harvest (AgExpand),0.1,0,0.2
2022,Harvest (Clearcut),3.1,1.1,5.1
2022,Harvest (Grain),9.9,6.5,14.1
2022,Harvest (Straw),6.7,3.9,10.2
2022,Harvest (Thinning),0.7,0.2,1.1
2022,Harvest (Urban),0.1,0,0.2
2022,Leaching,2.2,2,2.3
2022,LULCC,37.6,28.8,44.9
2022,Mortality,12.3,9.2,14.6
2022,Mortality (Fire),1.6,0.4,3.3
2022,Mortality (Harvest),1.6,0.6,2.5
2022,Mortality (Insects),16.3,1.8,52
2022,NECB,-6.9,-59.7,65.1
2022,NEP,30.7,-28.1,107.4
2022,NPP,142.4,86.5,204.5
2022,Rh,111.7,94.5,119.9
2023,Emission (AgExpand),0.5,0.2,0.8
2023,Emission (Biomass),8,6.1,8.7
2023,Emission (Clearcut),0.4,0.1,0.6
2023,Emission (Fire),3.1,1,6.9
2023,Emission (Orchard Removal),2.2,0.9,3.7
2023,Emission (Urban),0.9,0.4,1.7
2023,Harvest (AgExpand),0.1,0,0.2
2023,Harvest (Clearcut),3.1,1.1,5
2023,Harvest (Grain),9.8,7.5,11.8
2023,Harvest (Straw),6.7,4.7,8.3
2023,Harvest (Thinning),0.7,0.2,1.1
2023,Harvest (Urban),0.1,0,0.2
2023,Leaching,2.2,2.1,2.3
2023,LULCC,37.8,32.2,45
2023,Mortality,12.5,9.2,15.2
2023,Mortality (Fire),1.9,0.6,4.2
2023,Mortality (Harvest),1.5,0.6,2.5
2023,Mortality (Insects),33,3,98.6
2023,NECB,-8.7,-39.3,25.9
2023,NEP,29,-4.6,66.9
2023,NPP,141.4,101.9,180.3
2023,Rh,112.4,106.4,119.1
2024,Emission (AgExpand),0.5,0.2,0.8
2024,Emission (Biomass),7.9,5.9,8.7
