LUC,GCM,RCP,Flux,Mean,Lower,Upper
High,CanESM2,rcp85,Mortality,12.1,11.3,12.8
High,CanESM2,rcp85,Mortality (Fire),2.4,2.1,2.5
High,CanESM2,rcp85,Mortality (Harvest),1.8,1.7,1.9
High,CanESM2,rcp85,Mortality (Insects),12.6,11.1,14.2
High,CanESM2,rcp85,NECB,-3.5,-4.1,-2.8
High,CanESM2,rcp85,NEP,38.2,36.7,39.6
High,CanESM2,rcp85,NPP,164.3,162.5,166.1
High,CanESM2,rcp85,Rh,126,125.5,126.6
High,CNRM-CM5,rcp45,Emission (AgExpand),0.8,0.8,0.8
High,CNRM-CM5,rcp45,Emission (Biomass),7.5,7.2,7.7
High,CNRM-CM5,rcp45,Emission (Clearcut),0.5,0.5,0.5
High,CNRM-CM5,rcp45,Emission (Fire),3.6,3.4,3.9
High,CNRM-CM5,rcp45,Emission (Orchard Removal),3.7,3.6,3.9
High,CNRM-CM5,rcp45,Emission (Urban),1.2,1.1,1.2
High,CNRM-CM5,rcp45,Harvest (AgExpand),0.2,0.1,0.2
High,CNRM-CM5,rcp45,Harvest (Clearcut),3.9,3.8,4
High,CNRM-CM5,rcp45,Harvest (Grain),11.4,11.3,11.5
High,CNRM-CM5,rcp45,Harvest (Straw),7.2,7.1,7.3
High,CNRM-CM5,rcp45,Harvest (Thinning),0.8,0.8,0.8
High,CNRM-CM5,rcp45,Harvest (Urban),0.1,0.1,0.1
High,CNRM-CM5,rcp45,Leaching,2.3,2.3,2.3
High,CNRM-CM5,rcp45,LULCC,43.1,42.6,43.4
High,CNRM-CM5,rcp45,Mortality,12.5,12.1,12.9
High,CNRM-CM5,rcp45,Mortality (Fire),2,1.9,2.2
High,CNRM-CM5,rcp45,Mortality (Harvest),1.9,1.9,2
High,CNRM-CM5,rcp45,Mortality (Insects),11.3,10.2,12.3
High,CNRM-CM5,rcp45,NECB,-1.4,-1.9,-0.9
High,CNRM-CM5,rcp45,NEP,41.7,40.8,42.4
High,CNRM-CM5,rcp45,NPP,162.1,160.7,163.4
High,CNRM-CM5,rcp45,Rh,120.4,119.8,121
High,CNRM-CM5,rcp85,Emission (AgExpand),0.8,0.7,0.8
High,CNRM-CM5,rcp85,Emission (Biomass),7.4,7.1,7.7
High,CNRM-CM5,rcp85,Emission (Clearcut),0.5,0.5,0.5
High,CNRM-CM5,rcp85,Emission (Fire),3.3,3.2,3.5
High,CNRM-CM5,rcp85,Emission (Orchard Removal),3.6,3.5,3.8
High,CNRM-CM5,rcp85,Emission (Urban),1.1,1.1,1.1
High,CNRM-CM5,rcp85,Harvest (AgExpand),0.2,0.1,0.2
High,CNRM-CM5,rcp85,Harvest (Clearcut),3.9,3.7,4
High,CNRM-CM5,rcp85,Harvest (Grain),11.2,11.1,11.3
High,CNRM-CM5,rcp85,Harvest (Straw),7.1,6.9,7.2
High,CNRM-CM5,rcp85,Harvest (Thinning),0.8,0.8,0.9
High,CNRM-CM5,rcp85,Harvest (Urban),0.1,0.1,0.1
High,CNRM-CM5,rcp85,Leaching,2.2,2.2,2.2
High,CNRM-CM5,rcp85,LULCC,42.2,41.6,42.7
High,CNRM-CM5,rcp85,Mortality,12.5,12.1,12.9
High,CNRM-CM5,rcp85,Mortality (Fire),1.9,1.8,2.1
High,CNRM-CM5,rcp85,Mortality (Harvest),2,1.9,2
High,CNRM-CM5,rcp85,Mortality (Insects),11.7,10.5,12.8
High,CNRM-CM5,rcp85,NECB,-2.6,-3.3,-2.1
High,CNRM-CM5,rcp85,NEP,39.5,38.5,40.4
High,CNRM-CM5,rcp85,NPP,162.8,161.2,164
High,CNRM-CM5,rcp85,Rh,123.3,122.7,123.7
High,HadGEM2-ES,rcp45,Emission (AgExpand),0.7,0.7,0.7
High,HadGEM2-ES,rcp45,Emission (Biomass),6.5,6.1,6.8
High,HadGEM2-ES,rcp45,Emission (Clearcut),0.4,0.4,0.5
High,HadGEM2-ES,rcp45,Emission (Fire),3.7,3.5,3.9
High,HadGEM2-ES,rcp45,Emission (Orchard Removal),2.9,2.8,3
High,HadGEM2-ES,rcp45,Emission (Urban),1,1,1
High,HadGEM2-ES,rcp45,Harvest (AgExpand),0.1,0.1,0.1
High,HadGEM2-ES,rcp45,Harvest (Clearcut),3.5,3.4,3.6
High,HadGEM2-ES,rcp45,Harvest (Grain),9.8,9.7,9.8
High,HadGEM2-ES,rcp45,Harvest (Straw),5.9,5.8,6
High,HadGEM2-ES,rcp45,Harvest (Thinning),0.7,0.7,0.8
High,HadGEM2-ES,rcp45,Harvest (Urban),0.1,0.1,0.1
High,HadGEM2-ES,rcp45,Leaching,2.1,2.1,2.2
High,HadGEM2-ES,rcp45,LULCC,37.4,36.7,37.8
High,HadGEM2-ES,rcp45,Mortality,11.2,10.7,11.6
High,HadGEM2-ES,rcp45,Mortality (Fire),2,1.9,2.1
High,HadGEM2-ES,rcp45,Mortality (Harvest),1.8,1.7,1.8
High,HadGEM2-ES,rcp45,Mortality (Insects),12,10.8,13.1
High,HadGEM2-ES,rcp45,NECB,-7.7,-8.3,-7.2
High,HadGEM2-ES,rcp45,NEP,29.7,28.8,30.6
High,HadGEM2-ES,rcp45,NPP,139,137.8,140.3
High,HadGEM2-ES,rcp45,Rh,109.4,108.9,109.8
High,HadGEM2-ES,rcp85,Emission (AgExpand),0.7,0.6,0.7
High,HadGEM2-ES,rcp85,Emission (Biomass),6.6,6.2,6.9
High,HadGEM2-ES,rcp85,Emission (Clearcut),0.5,0.4,0.5
High,HadGEM2-ES,rcp85,Emission (Fire),3.4,3.3,3.6
High,HadGEM2-ES,rcp85,Emission (Orchard Removal),2.8,2.7,2.9
High,HadGEM2-ES,rcp85,Emission (Urban),1,0.9,1
High,HadGEM2-ES,rcp85,Harvest (AgExpand),0.1,0.1,0.1
High,HadGEM2-ES,rcp85,Harvest (Clearcut),3.6,3.5,3.8
High,HadGEM2-ES,rcp85,Harvest (Grain),9.7,9.6,9.8
High,HadGEM2-ES,rcp85,Harvest (Straw),5.8,5.8,5.9
High,HadGEM2-ES,rcp85,Harvest (Thinning),0.7,0.7,0.8
High,HadGEM2-ES,rcp85,Harvest (Urban),0.1,0.1,0.1
High,HadGEM2-ES,rcp85,Leaching,2.1,2.1,2.1
High,HadGEM2-ES,rcp85,LULCC,37.1,36.6,37.6
High,HadGEM2-ES,rcp85,Mortality,11.3,10.7,11.7
High,HadGEM2-ES,rcp85,Mortality (Fire),2,1.8,2.1
High,HadGEM2-ES,rcp85,Mortality (Harvest),1.8,1.7,1.9
High,HadGEM2-ES,rcp85,Mortality (Insects),11.7,10.6,13
High,HadGEM2-ES,rcp85,NECB,-10.8,-11.2,-10.2
High,HadGEM2-ES,rcp85,NEP,26.3,25.3,27.2
High,HadGEM2-ES,rcp85,NPP,139.3,137.8,140.7
High,HadGEM2-ES,rcp85,Rh,113,112.4,113.5
High,MIROC5,rcp45,Emission (AgExpand),0.7,0.6,0.7
High,MIROC5,rcp45,Emission (Biomass),6.9,6.7,7.1
High,MIROC5,rcp45,Emission (Clearcut),0.5,0.4,0.5
High,MIROC5,rcp45,Emission (Fire),3.7,3.5,4
High,MIROC5,rcp45,Emission (Orchard Removal),2.6,2.5,2.7
High,MIROC5,rcp45,Emission (Urban),1,0.9,1
High,MIROC5,rcp45,Harvest (AgExpand),0.1,0.1,0.1
High,MIROC5,rcp45,Harvest (Clearcut),3.6,3.5,3.7
High,MIROC5,rcp45,Harvest (Grain),9.4,9.3,9.5
High,MIROC5,rcp45,Harvest (Straw),5.6,5.5,5.6
High,MIROC5,rcp45,Harvest (Thinning),0.8,0.7,0.8
High,MIROC5,rcp45,Harvest (Urban),0.1,0.1,0.1
High,MIROC5,rcp45,Leaching,2.2,2.2,2.2
High,MIROC5,rcp45,LULCC,37.1,36.6,37.4
High,MIROC5,rcp45,Mortality,11.7,11.4,11.9
High,MIROC5,rcp45,Mortality (Fire),2,1.9,2.2
High,MIROC5,rcp45,Mortality (Harvest),1.8,1.8,1.9
High,MIROC5,rcp45,Mortality (Insects),11.5,10.6,12.5
High,MIROC5,rcp45,NECB,-8.8,-9.2,-8.4
High,MIROC5,rcp45,NEP,28.3,27.8,28.9
High,MIROC5,rcp45,NPP,134.4,133.5,135.4
High,MIROC5,rcp45,Rh,106.1,105.7,106.5
High,MIROC5,rcp85,Emission (AgExpand),0.7,0.6,0.7
High,MIROC5,rcp85,Emission (Biomass),6.2,5.7,6.7
High,MIROC5,rcp85,Emission (Clearcut),0.4,0.4,0.4
High,MIROC5,rcp85,Emission (Fire),3,2.8,3.2
High,MIROC5,rcp85,Emission (Orchard Removal),2.7,2.5,2.8
High,MIROC5,rcp85,Emission (Urban),1,0.9,1
High,MIROC5,rcp85,Harvest (AgExpand),0.1,0.1,0.1
High,MIROC5,rcp85,Harvest (Clearcut),3.4,3.2,3.6
High,MIROC5,rcp85,Harvest (Grain),9.4,9.3,9.4
High,MIROC5,rcp85,Harvest (Straw),5.6,5.5,5.6
High,MIROC5,rcp85,Harvest (Thinning),0.7,0.7,0.8
High,MIROC5,rcp85,Harvest (Urban),0.1,0.1,0.1
High,MIROC5,rcp85,Leaching,2.2,2.2,2.2
High,MIROC5,rcp85,LULCC,35.3,34.5,36.1
High,MIROC5,rcp85,Mortality,10.6,10,11.2
High,MIROC5,rcp85,Mortality (Fire),1.7,1.5,1.8
High,MIROC5,rcp85,Mortality (Harvest),1.7,1.6,1.8
High,MIROC5,rcp85,Mortality (Insects),13,11.5,14.5
High,MIROC5,rcp85,NECB,-10,-10.5,-9.4
High,MIROC5,rcp85,NEP,25.4,24.1,26.6
High,MIROC5,rcp85,NPP,134.2,132.6,135.8
High,MIROC5,rcp85,Rh,108.9,108.3,109.4
Low,CanESM2,rcp45,Emission (AgExpand),0.2,0.2,0.2
Low,CanESM2,rcp45,Emission (Biomass),7.4,7.1,7.7
Low,CanESM2,rcp45,Emission (Clearcut),0.3,0.3,0.3
Low,CanESM2,rcp45,Emission (Fire),3.7,3.5,3.9
Low,CanESM2,rcp45,Emission (Orchard Removal),2.9,2.8,3.1
Low,CanESM2,rcp45,Emission (Urban),0.3,0.3,0.3
Low,CanESM2,rcp45,Harvest (AgExpand),0,0,0
Low,CanESM2,rcp45,Harvest (Clearcut),2.4,2.2,2.6
Low,CanESM2,rcp45,Harvest (Grain),9.7,9.6,9.8
Low,CanESM2,rcp45,Harvest (Straw),6,6,6.2
Low,CanESM2,rcp45,Harvest (Thinning),0.4,0.3,0.4
Low,CanESM2,rcp45,Harvest (Urban),0,0,0
Low,CanESM2,rcp45,Leaching,2.2,2.2,2.2
Low,CanESM2,rcp45,LULCC,35.7,35.2,36.1
Low,CanESM2,rcp45,Mortality,11.8,11.4,12.2
Low,CanESM2,rcp45,Mortality (Fire),2.1,2,2.3
Low,CanESM2,rcp45,Mortality (Harvest),1.2,1.1,1.3
Low,CanESM2,rcp45,Mortality (Insects),11.9,10.9,13.1
Low,CanESM2,rcp45,NECB,-1.8,-2.3,-1.3
Low,CanESM2,rcp45,NEP,34,33.1,34.8
Low,CanESM2,rcp45,NPP,152.4,151.2,153.5
Low,CanESM2,rcp45,Rh,118.4,118,118.8
Low,CanESM2,rcp85,Emission (AgExpand),0.2,0.2,0.2
Low,CanESM2,rcp85,Emission (Biomass),7.2,6.7,7.8
Low,CanESM2,rcp85,Emission (Clearcut),0.3,0.3,0.3
Low,CanESM2,rcp85,Emission (Fire),4.1,3.9,4.3
Low,CanESM2,rcp85,Emission (Orchard Removal),3.3,3.2,3.4
