Timestep,Min,Interval2.5,Interval10,Interval25,Mean,Interval75,Interval90,Interval97.5,Max
2088,3663.1,3744.2,3888.2,3993.4,4263.5,4529.8,4636.9,4749.6,4839
2089,3693.8,3775.1,3886.3,3989,4276.2,4560.9,4654,4773.3,4836.9
2090,3716.5,3800.1,3898.4,3996.3,4266.8,4537.1,4643.3,4772.4,4837.1
2091,3691.3,3773,3887.5,3975,4246.5,4517.8,4627.8,4757.1,4829.7
2092,3643.1,3722.4,3841.8,3932.2,4224.1,4515.8,4619.7,4725.9,4814.8
2093,3622.4,3701.4,3818.1,3906.4,4205.8,4497.9,4599.1,4715.6,4799.1
2094,3588.7,3663.5,3819,3908.9,4203.8,4503.8,4601.3,4734.3,4802.7
2095,3591.8,3660.9,3792.9,3888.3,4197.7,4512.8,4630.3,4774.1,4851.6
2096,3591.7,3659.4,3780.6,3873.3,4161.2,4452.6,4572.8,4737.8,4821.6
2097,3607.6,3673.8,3793.6,3883.3,4164.5,4452.7,4567.8,4735.1,4814.5
2098,3613.3,3680.7,3792.4,3873.7,4169.3,4462.2,4596.9,4775.3,4856.4
2099,3613.8,3681.7,3771.6,3878.4,4165.2,4453.4,4559.1,4723.5,4804.4
2100,3611.7,3681,3757.1,3883.6,4163,4441.2,4551.4,4706.2,4790.3
