LUC,Timestep,LULC,Mean,Lower,Upper
BAU,2019,Agriculture,44375.6975,44082.975,44669.049999999996
BAU,2019,Barren,19155,19155,19155
BAU,2019,Developed,26482.6075,26063.925,26907.075
BAU,2019,Forest,155708.935,155562.95,155836
BAU,2019,Grassland,45554.20125,45203.875,45924.024999999994
BAU,2019,Shrubland,111133.14017521903,110999,111253
BAU,2019,SnowIce,28,28,28
BAU,2019,Water,18655,18655,18655
BAU,2019,Wetland,2719.585,2673,2767.025
BAU,2020,Agriculture,44323.03125,44025.975,44624.025
BAU,2020,Barren,19155,19155,19155
BAU,2020,Developed,26669.40625,26227.824999999997,27155.05
BAU,2020,Forest,155673.91,155515.97499999998,155812
BAU,2020,Grassland,45501.3425,45130,45863.1
BAU,2020,Shrubland,111089.595,110944.975,111222.1
BAU,2020,SnowIce,28,28,28
BAU,2020,Water,18655,18655,18655
BAU,2020,Wetland,2716.715,2669,2764
BAU,2021,Agriculture,44279.97744360902,43985.775,44584.45
BAU,2021,Barren,19155,19155,19155
BAU,2021,Developed,26857.582706766916,26405.1,27378
BAU,2021,Forest,155636.99125,155481.9,155792
BAU,2021,Grassland,45441.708385481856,45088.85,45855
BAU,2021,Shrubland,111045.55889724311,110888.85,111192
BAU,2021,SnowIce,28,28,28
BAU,2021,Water,18655,18655,18655
BAU,2021,Wetland,2713.19125,2666,2761.0249999999996
BAU,2022,Agriculture,44227.95375,43903,44556.149999999994
BAU,2022,Barren,19155,19155,19155
BAU,2022,Developed,27041.549436795995,26543.95,27580.45
BAU,2022,Forest,155600.7325,155431.975,155758.075
BAU,2022,Grassland,45390.155,44991.9,45822.15
BAU,2022,Shrubland,111002.60275689223,110833,111160.225
BAU,2022,SnowIce,28,28,28
BAU,2022,Water,18655,18655,18655
BAU,2022,Wetland,2711.065,2659,2761.0499999999997
BAU,2023,Agriculture,44177.9661229611,43842,44532.1
BAU,2023,Barren,19155,19155,19155
BAU,2023,Developed,27225.20125,26683.875,27779.35
BAU,2023,Forest,155565.0925,155396,155731.025
BAU,2023,Grassland,45338.42302878598,44889,45765.1
BAU,2023,Shrubland,110959.5608531995,110791,111132.2
BAU,2023,SnowIce,28,28,28
BAU,2023,Water,18655,18655,18655
BAU,2023,Wetland,2708.695,2654.975,2764.025
BAU,2024,Agriculture,44131.14125,43781.9,44486.049999999996
BAU,2024,Barren,19155,19155,19155
BAU,2024,Developed,27409.26125,26831.975,27984.524999999998
BAU,2024,Forest,155528.80125,155356.94999999998,155709
BAU,2024,Grassland,45283.45739348371,44857.475,45738.375
BAU,2024,Shrubland,110915.98996235884,110739.9,111102
BAU,2024,SnowIce,28,28,28
BAU,2024,Water,18655,18655,18655
BAU,2024,Wetland,2705.7425,2649.975,2760.025
BAU,2025,Agriculture,44088.68295739348,43709.775,44449
BAU,2025,Barren,19155,19155,19155
BAU,2025,Developed,27598.375,27022.8,28218.025
BAU,2025,Forest,155490.6875,155309.85,155666.025
BAU,2025,Grassland,45223.642857142855,44768.85,45676.3
BAU,2025,Shrubland,110870.24436090226,110682.925,111054.075
BAU,2025,SnowIce,28,28,28
BAU,2025,Water,18655,18655,18655
BAU,2025,Wetland,2702.82375,2644.975,2757
BAU,2026,Agriculture,44046.662484316184,43659.4,44436.2
BAU,2026,Barren,19155,19155,19155
BAU,2026,Developed,27783.68546365915,27211.175000000003,28424.15
BAU,2026,Forest,155453.2375,155260,155627.05
BAU,2026,Grassland,45165.10125,44697.875,45640
BAU,2026,Shrubland,110825.00125,110615,111004.05
BAU,2026,SnowIce,28,28,28
BAU,2026,Water,18655,18655,18655
BAU,2026,Wetland,2699.94625,2640.975,2756
BAU,2027,Agriculture,44001.30740276035,43619.1,44421.3
BAU,2027,Barren,19155,19155,19155
BAU,2027,Developed,27970.770963704632,27370.3,28634
BAU,2027,Forest,155415.09375,155219.85,155597.05
BAU,2027,Grassland,45108.535,44623.600000000006,45577.025
BAU,2027,Shrubland,110779.99625,110565.97499999999,110975.04999999999
BAU,2027,SnowIce,28,28,28
BAU,2027,Water,18655,18655,18655
BAU,2027,Wetland,2698.265,2638,2757.0249999999996
BAU,2028,Agriculture,43956.89875,43563.95,44389.3
BAU,2028,Barren,19155,19155,19155
BAU,2028,Developed,28153.93375,27548.625,28843.449999999997
BAU,2028,Forest,155377.24625,155166.94999999998,155567.025
BAU,2028,Grassland,45054.63579474343,44557.9,45532.049999999996
BAU,2028,Shrubland,110735.24875,110512.95000000001,110944
BAU,2028,SnowIce,28,28,28
BAU,2028,Water,18655,18655,18655
BAU,2028,Wetland,2696.105,2634,2754
BAU,2029,Agriculture,43910.9375,43482.875,44343.049999999996
BAU,2029,Barren,19155,19155,19155
BAU,2029,Developed,28335.4725,27703.899999999998,29017.949999999997
BAU,2029,Forest,155340.37375,155126,155541.025
BAU,2029,Grassland,45001.992490613266,44508.55,45518.05
BAU,2029,Shrubland,110690.83125,110472.95000000001,110900.025
BAU,2029,SnowIce,28,28,28
BAU,2029,Water,18655,18655,18655
BAU,2029,Wetland,2694.395,2634,2751.025
BAU,2030,Agriculture,43864.38172715895,43447.799999999996,44303
BAU,2030,Barren,19155,19155,19155
BAU,2030,Developed,28514.70125,27839.9,29220.025
BAU,2030,Forest,155304.1125,155083.975,155524.02500000002
BAU,2030,Grassland,44950.209273182954,44428.875,45471.45
BAU,2030,Shrubland,110647.9075,110423.95,110877.025
BAU,2030,SnowIce,28,28,28
BAU,2030,Water,18655,18655,18655
BAU,2030,Wetland,2692.39375,2630.975,2753.0249999999996
BAU,2031,Agriculture,43818.6846057572,43391.6,44262.049999999996
BAU,2031,Barren,19155,19155,19155
BAU,2031,Developed,28692.20025031289,28007.899999999998,29421.25
BAU,2031,Forest,155267.645,155039.95,155480.025
BAU,2031,Grassland,44900.16541353383,44360.7,45421.6
BAU,2031,Shrubland,110604.61625,110376.925,110842
BAU,2031,SnowIce,28,28,28
BAU,2031,Water,18655,18655,18655
BAU,2031,Wetland,2691.0775,2627.975,2750
BAU,2032,Agriculture,43771.9425,43325.9,44223.125
BAU,2032,Barren,19155,19155,19155
BAU,2032,Developed,28873.534504391468,28155.3,29615.3
BAU,2032,Forest,155229.9275,154990,155449.225
BAU,2032,Grassland,44848.05757196496,44281.9,45361.35
BAU,2032,Shrubland,110559.89625,110313.97499999999,110802.09999999999
BAU,2032,SnowIce,28,28,28
BAU,2032,Water,18655,18655,18655
BAU,2032,Wetland,2689.9775,2627.975,2753
BAU,2033,Agriculture,43729.72875,43289.899999999994,44174.225
BAU,2033,Barren,19155,19155,19155
BAU,2033,Developed,29055.322903629538,28357.600000000002,29795.25
BAU,2033,Forest,155191.16375,154962,155415.025
BAU,2033,Grassland,44794.65,44238.924999999996,45333.075
BAU,2033,Shrubland,110514.73,110288.9,110755.125
BAU,2033,SnowIce,28,28,28
BAU,2033,Water,18655,18655,18655
BAU,2033,Wetland,2688.47375,2623.975,2753
BAU,2034,Agriculture,43685.0875,43254.799999999996,44136.025
BAU,2034,Barren,19155,19155,19155
BAU,2034,Developed,29239.687108886108,28510.75,29964.2
BAU,2034,Forest,155152.1889862328,154911,155372.4
BAU,2034,Grassland,44739.99624530663,44188.700000000004,45295.35
BAU,2034,Shrubland,110470.04125,110243.97499999999,110715.05
BAU,2034,SnowIce,28,28,28
BAU,2034,Water,18655,18655,18655
BAU,2034,Wetland,2687.16375,2623.975,2758
BAU,2035,Agriculture,43640.897371714644,43208.399999999994,44109.2
BAU,2035,Barren,19155,19155,19155
BAU,2035,Developed,29422.131414267835,28672,30189.300000000003
BAU,2035,Forest,155112.70138017565,154868.5,155348.9
BAU,2035,Grassland,44685.93116395494,44127.899999999994,45256.149999999994
BAU,2035,Shrubland,110425.365,110193.9,110660.125
BAU,2035,SnowIce,28,28,28
BAU,2035,Water,18655,18655,18655
BAU,2035,Wetland,2685.8325,2625.975,2753.0249999999996
BAU,2036,Agriculture,43596.74874371859,43140.125,44078.125
BAU,2036,Barren,19155,19155,19155
BAU,2036,Developed,29600.3,28822.875,30345.399999999998
BAU,2036,Forest,155074.53450439146,154816,155324.19999999998
BAU,2036,Grassland,44634.48625,44084.875,45226.25
BAU,2036,Shrubland,110382.86625,110128.97499999999,110633.02500000001
BAU,2036,SnowIce,28,28,28
BAU,2036,Water,18655,18655,18655
BAU,2036,Wetland,2684.5775,2624,2754.0499999999997
BAU,2037,Agriculture,43553.25625,43074.85,44056.225
BAU,2037,Barren,19155,19155,19155
BAU,2037,Developed,29781.497493734336,28979.325,30562.725
BAU,2037,Forest,155035.1689612015,154782,155298.09999999998
BAU,2037,Grassland,44582.18125,44011.15,45170
BAU,2037,Shrubland,110337.645,110082,110587.325
BAU,2037,SnowIce,28,28,28
BAU,2037,Water,18655,18655,18655
BAU,2037,Wetland,2683.74875,2620,2754.0249999999996
BAU,2038,Agriculture,43510.71088861076,43037.85,43997.05
BAU,2038,Barren,19155,19155,19155
BAU,2038,Developed,29966.98125,29184.6,30769.1
BAU,2038,Forest,154994.24436090226,154736.85,155239.22499999998
BAU,2038,Grassland,44526.93366708385,43935.8,45145.15
BAU,2038,Shrubland,110291.14625,110032,110555
BAU,2038,SnowIce,28,28,28
BAU,2038,Water,18655,18655,18655
BAU,2038,Wetland,2682.76625,2618,2753.0249999999996
BAU,2039,Agriculture,43466.99125,42981.875,43990.174999999996
BAU,2039,Barren,19155,19155,19155
BAU,2039,Developed,30149.080100125157,29337.5,30917.2
BAU,2039,Forest,154954.59073842302,154700.55000000002,155204.4
BAU,2039,Grassland,44475.1325,43855.875,45115
BAU,2039,Shrubland,110246.395,109986.775,110516
BAU,2039,SnowIce,28,28,28
BAU,2039,Water,18655,18655,18655
BAU,2039,Wetland,2681.94,2618.95,2753.0249999999996
BAU,2040,Agriculture,43425.6975,42939.95,43959
BAU,2040,Barren,19155,19155,19155
BAU,2040,Developed,30324.7175,29485.275,31099.45
BAU,2040,Forest,154915.65244667503,154647.8,155177.19999999998
BAU,2040,Grassland,44421.22875,43776,45050.200000000004
BAU,2040,Shrubland,110205.12,109944.975,110474.175
BAU,2040,SnowIce,28,28,28
BAU,2040,Water,18655,18655,18655
BAU,2040,Wetland,2681.2675,2618.95,2753.0249999999996
BAU,2041,Agriculture,43380.49125,42906.9,43921.075
BAU,2041,Barren,19155,19155,19155
BAU,2041,Developed,30497.439299123904,29628.25,31307.2
BAU,2041,Forest,154878.23684210525,154602.85,155149
BAU,2041,Grassland,44372.435,43740,45036.05
BAU,2041,Shrubland,110165.0025,109896,110443
BAU,2041,SnowIce,28,28,28
BAU,2041,Water,18655,18655,18655
BAU,2041,Wetland,2680.7125,2615,2756.05
BAU,2042,Agriculture,43338.43375,42850.975000000006,43881.125
BAU,2042,Barren,19155,19155,19155
BAU,2042,Developed,30678.9725,29786.899999999998,31493
BAU,2042,Forest,154838.17021276595,154562.95,155113
BAU,2042,Grassland,44318.8625,43683.475,44971.5
BAU,2042,Shrubland,110118.63204005006,109853.95,110402.09999999999
BAU,2042,SnowIce,28,28,28
BAU,2042,Water,18655,18655,18655
BAU,2042,Wetland,2680.875,2613.975,2753.0249999999996
BAU,2043,Agriculture,43293.634543178974,42794,43843
BAU,2043,Barren,19155,19155,19155
BAU,2043,Developed,30857.00626566416,29968.2,31701.375
BAU,2043,Forest,154799.05006257823,154503.94999999998,155091.2
BAU,2043,Grassland,44268.9425,43596,44947.05
BAU,2043,Shrubland,110074.77735849057,109805.54999999999,110363.9
BAU,2043,SnowIce,28,28,28
BAU,2043,Water,18655,18655,18655
BAU,2043,Wetland,2680.815,2611,2755
BAU,2044,Agriculture,43250.68585732165,42735.5,43819.5
BAU,2044,Barren,19155,19155,19155
BAU,2044,Developed,31030.8625,30118,31897.3
BAU,2044,Forest,154760.52375,154467.975,155058.1
BAU,2044,Grassland,44218.98247809762,43536.1,44901.1
BAU,2044,Shrubland,110032.7575,109762.95000000001,110323.025
BAU,2044,SnowIce,28,28,28
BAU,2044,Water,18655,18655,18655
BAU,2044,Wetland,2680.775,2611.9750000000004,2756.025
BAU,2045,Agriculture,43207.071698113206,42691.55,43760.600000000006
BAU,2045,Barren,19155,19155,19155
BAU,2045,Developed,31210.973717146433,30310.25,32088.5
BAU,2045,Forest,154720.33,154433,155023.2
BAU,2045,Grassland,44166.84856070088,43462.9,44843.45
BAU,2045,Shrubland,109990.11625,109725.92499999999,110283.025
BAU,2045,SnowIce,28,28,28
BAU,2045,Water,18655,18655,18655
BAU,2045,Wetland,2680.42625,2611,2756
BAU,2046,Agriculture,43163.007509386734,42633.7,43713.149999999994
BAU,2046,Barren,19155,19155,19155
BAU,2046,Developed,31386.93992490613,30453.850000000002,32256.15
BAU,2046,Forest,154680.9073842303,154382.85,154984.1
BAU,2046,Grassland,44114.81476846058,43450.649999999994,44817.1
BAU,2046,Shrubland,109948.51002506266,109666.625,110244
BAU,2046,SnowIce,28,28,28
BAU,2046,Water,18655,18655,18655
BAU,2046,Wetland,2680.12375,2612,2755
BAU,2047,Agriculture,43116.515037593985,42571.774999999994,43676.075
BAU,2047,Barren,19155,19155,19155
BAU,2047,Developed,31567.159147869676,30652.625,32477.824999999997
BAU,2047,Forest,154641.615,154347.875,154941.35
BAU,2047,Grassland,44065.69211514393,43399.85,44767.55
BAU,2047,Shrubland,109903.81954887218,109630,110203.15
BAU,2047,SnowIce,28,28,28
BAU,2047,Water,18655,18655,18655
BAU,2047,Wetland,2680.75,2610,2757.0249999999996
BAU,2048,Agriculture,43070.11639549437,42500,43642.200000000004
BAU,2048,Barren,19155,19155,19155
BAU,2048,Developed,31737.818523153943,30844.4,32601.350000000002
BAU,2048,Forest,154603.65875,154306,154900
BAU,2048,Grassland,44019.01253132832,43344.4,44723.12499999999
BAU,2048,Shrubland,109862.97997496871,109594.59999999999,110171.15
BAU,2048,SnowIce,28,28,28
BAU,2048,Water,18655,18655,18655
BAU,2048,Wetland,2681.3,2609.975,2760
BAU,2049,Agriculture,43024.30363864492,42448.600000000006,43599.2
BAU,2049,Barren,19155,19155,19155
BAU,2049,Developed,31912.99,31041.975,32810.75
BAU,2049,Forest,154564.0125,154254.875,154868
BAU,2049,Grassland,43969.26,43299.875,44676.8
BAU,2049,Shrubland,109821.78625,109534.975,110122.15
BAU,2049,SnowIce,28,28,28
BAU,2049,Water,18655,18655,18655
BAU,2049,Wetland,2681.73875,2608,2763
BAU,2050,Agriculture,42977.32790988736,42392.9,43542.25
BAU,2050,Barren,19155,19155,19155
BAU,2050,Developed,32087.01125,31164.825,32955.125
BAU,2050,Forest,154525.72,154220.875,154841
BAU,2050,Grassland,43920.77125,43226.775,44650.25
BAU,2050,Shrubland,109779.87044025157,109493.8,110070.79999999999
BAU,2050,SnowIce,28,28,28
BAU,2050,Water,18655,18655,18655
BAU,2050,Wetland,2681.895,2605.95,2764
BAU,2051,Agriculture,42932.57697121402,42333.75,43540.5
BAU,2051,Barren,19155,19155,19155
BAU,2051,Developed,32260.899874843555,31353.850000000002,33166.15
BAU,2051,Forest,154485.81875,154169.80000000002,154803.15
BAU,2051,Grassland,43871.4775,43164.9,44626
BAU,2051,Shrubland,109740.0875,109454.90000000001,110034.09999999999
BAU,2051,SnowIce,28,28,28
BAU,2051,Water,18655,18655,18655
BAU,2051,Wetland,2682.13125,2606.9750000000004,2766
BAU,2052,Agriculture,42887.66125,42308.975,43475.1
BAU,2052,Barren,19155,19155,19155
BAU,2052,Developed,32443.60875,31505.875,33356.475
BAU,2052,Forest,154443.48125,154130.84999999998,154763.175
BAU,2052,Grassland,43820.929912390486,43109.3,44573.4
BAU,2052,Shrubland,109695.13391739674,109398.9,109992.7
BAU,2052,SnowIce,28,28,28
BAU,2052,Water,18655,18655,18655
BAU,2052,Wetland,2682.58,2608.975,2767
BAU,2053,Agriculture,42840.783479349186,42276.95,43417.15
BAU,2053,Barren,19155,19155,19155
BAU,2053,Developed,32618.1775,31665,33518.5
BAU,2053,Forest,154403.39125,154079.975,154716.1
BAU,2053,Grassland,43774.196741854634,43089.85,44533.325
BAU,2053,Shrubland,109654.585,109361.875,109954.15
BAU,2053,SnowIce,28,28,28
BAU,2053,Water,18655,18655,18655
BAU,2053,Wetland,2683.3525,2608.975,2768.025
BAU,2054,Agriculture,42794.64375,42225.875,43339.399999999994
BAU,2054,Barren,19155,19155,19155
BAU,2054,Developed,32793.38673341677,31801,33719.25
BAU,2054,Forest,154363.60375,154044.92500000002,154676.35
