LUC,GCM,RCP,Timestep,StockGroup,Ecosystem,Mean,Lower,Upper
BAU,CanESM2,rcp45,2036,DOM,Yes,594.8,550.4,641.5
BAU,CanESM2,rcp45,2036,Live,No,0.9,0.8,1.1
BAU,CanESM2,rcp45,2036,Live,Yes,1429.1,1352.2,1505.2
BAU,CanESM2,rcp45,2036,Soil,No,31.5,27.5,35
BAU,CanESM2,rcp45,2036,Soil,Yes,2511.2,2504.2,2519.3
BAU,CanESM2,rcp45,2037,DOM,No,0.1,0.1,0.1
BAU,CanESM2,rcp45,2037,DOM,Yes,590.2,548.2,635.5
BAU,CanESM2,rcp45,2037,Live,No,1,0.8,1.1
BAU,CanESM2,rcp45,2037,Live,Yes,1398.4,1322.8,1475.4
BAU,CanESM2,rcp45,2037,Soil,No,32.5,28.5,36.3
BAU,CanESM2,rcp45,2037,Soil,Yes,2505.4,2498.6,2513.3
BAU,CanESM2,rcp45,2038,DOM,No,0.1,0.1,0.1
BAU,CanESM2,rcp45,2038,DOM,Yes,584.1,542.2,627
BAU,CanESM2,rcp45,2038,Live,No,1,0.8,1.1
BAU,CanESM2,rcp45,2038,Live,Yes,1407.8,1336.6,1484.6
BAU,CanESM2,rcp45,2038,Soil,No,33.4,29.4,37.1
BAU,CanESM2,rcp45,2038,Soil,Yes,2497.6,2490.8,2505.7
BAU,CanESM2,rcp45,2039,DOM,No,0.1,0.1,0.1
BAU,CanESM2,rcp45,2039,DOM,Yes,584.2,546.5,625.2
BAU,CanESM2,rcp45,2039,Live,No,1,0.8,1.2
BAU,CanESM2,rcp45,2039,Live,Yes,1421.3,1352.1,1494.2
BAU,CanESM2,rcp45,2039,Soil,No,34.2,30,37.8
BAU,CanESM2,rcp45,2039,Soil,Yes,2491.4,2484.2,2498.7
BAU,CanESM2,rcp45,2040,DOM,No,0.1,0.1,0.1
BAU,CanESM2,rcp45,2040,DOM,Yes,585.7,548.2,627.1
BAU,CanESM2,rcp45,2040,Live,No,1,0.9,1.2
BAU,CanESM2,rcp45,2040,Live,Yes,1442.5,1375.1,1516.9
BAU,CanESM2,rcp45,2040,Soil,No,35.1,30.7,38.6
BAU,CanESM2,rcp45,2040,Soil,Yes,2486.9,2480.3,2494.2
BAU,CanESM2,rcp45,2041,DOM,No,0.1,0.1,0.1
