LUC,GCM,RCP,EcoregionID,EcoregionName,Mean,Lower,Upper
High,CNRM-CM5,rcp45,81,Sonoran B&R,-4.6,-5.2,-3.9
High,CNRM-CM5,rcp85,1,Coast Range,-37.6,-48,-28.7
High,CNRM-CM5,rcp85,4,Cascades,-3.4,-4.6,-2.3
High,CNRM-CM5,rcp85,5,Sierra Nevada,-83.8,-98.2,-71.4
High,CNRM-CM5,rcp85,6,Oak Woodlands,-39.7,-61.6,-22.2
High,CNRM-CM5,rcp85,7,Central Valley,-28.6,-34.2,-22.8
High,CNRM-CM5,rcp85,8,SoCal Mtns.,12.6,9.3,15.5
High,CNRM-CM5,rcp85,9,East Cascades,-23.2,-27.2,-18.5
High,CNRM-CM5,rcp85,13,Central B&R,9,7.8,10.3
High,CNRM-CM5,rcp85,14,Mojave B&R,19,18,20.2
High,CNRM-CM5,rcp85,78,Klamath Mtns.,-39.8,-55.5,-24
High,CNRM-CM5,rcp85,80,Northern B&R,-2.4,-2.8,-2
High,CNRM-CM5,rcp85,81,Sonoran B&R,-4.2,-4.9,-3.4
High,HadGEM2-ES,rcp45,1,Coast Range,-59.9,-67.6,-51.9
High,HadGEM2-ES,rcp45,4,Cascades,-7.6,-8.8,-5.9
High,HadGEM2-ES,rcp45,5,Sierra Nevada,-153.4,-163.9,-142.7
High,HadGEM2-ES,rcp45,6,Oak Woodlands,-141.3,-151.7,-130
High,HadGEM2-ES,rcp45,7,Central Valley,-56.7,-61.5,-50.1
High,HadGEM2-ES,rcp45,8,SoCal Mtns.,-17.8,-20.7,-15.2
High,HadGEM2-ES,rcp45,9,East Cascades,-71.7,-75.7,-68.4
High,HadGEM2-ES,rcp45,13,Central B&R,-5.1,-6.3,-3.8
High,HadGEM2-ES,rcp45,14,Mojave B&R,-18,-18.6,-17.4
High,HadGEM2-ES,rcp45,78,Klamath Mtns.,-103.3,-118.9,-88
High,HadGEM2-ES,rcp45,80,Northern B&R,-8.1,-8.4,-7.8
High,HadGEM2-ES,rcp45,81,Sonoran B&R,-14.4,-15.1,-13.6
High,HadGEM2-ES,rcp85,1,Coast Range,-76.1,-84.3,-65.8
High,HadGEM2-ES,rcp85,4,Cascades,-7.4,-8.4,-6.3
High,HadGEM2-ES,rcp85,5,Sierra Nevada,-174.6,-184.3,-164
High,HadGEM2-ES,rcp85,6,Oak Woodlands,-230.4,-241.5,-217.8
High,HadGEM2-ES,rcp85,7,Central Valley,-91.5,-96.3,-85.5
High,HadGEM2-ES,rcp85,8,SoCal Mtns.,-36.5,-39.7,-33.6
High,HadGEM2-ES,rcp85,9,East Cascades,-83.4,-85.9,-80.3
High,HadGEM2-ES,rcp85,13,Central B&R,-12.6,-13.3,-11.9
High,HadGEM2-ES,rcp85,14,Mojave B&R,-47.4,-48.1,-46.9
High,HadGEM2-ES,rcp85,78,Klamath Mtns.,-123.9,-136.6,-107.9
High,HadGEM2-ES,rcp85,80,Northern B&R,-10.7,-11.1,-10.4
High,HadGEM2-ES,rcp85,81,Sonoran B&R,-21.7,-22.2,-21.2
High,MIROC5,rcp45,1,Coast Range,-58,-64.1,-52.9
High,MIROC5,rcp45,4,Cascades,-6,-7.2,-4.6
High,MIROC5,rcp45,5,Sierra Nevada,-156,-164.7,-146.8
High,MIROC5,rcp45,6,Oak Woodlands,-212.3,-220.3,-203.8
High,MIROC5,rcp45,7,Central Valley,-84.4,-88.2,-78.9
High,MIROC5,rcp45,8,SoCal Mtns.,-32.9,-35.9,-29.6
High,MIROC5,rcp45,9,East Cascades,-54.1,-58.1,-49.8
High,MIROC5,rcp45,13,Central B&R,-6.2,-7.4,-5.4
High,MIROC5,rcp45,14,Mojave B&R,-25.7,-26.4,-25
High,MIROC5,rcp45,78,Klamath Mtns.,-84.1,-99.2,-69.9
High,MIROC5,rcp45,80,Northern B&R,-7.1,-7.5,-6.7
High,MIROC5,rcp45,81,Sonoran B&R,-19.8,-20.5,-19.2
High,MIROC5,rcp85,1,Coast Range,-75.5,-86.7,-64
High,MIROC5,rcp85,4,Cascades,-4.4,-5.5,-3.3
