Timestep,StockGroup,Ecosystem,Mean,Lower,Upper
2041,DOM,No,0.1,0.1,0.1
2041,DOM,Yes,612.1,469.9,913.5
2041,Live,No,1.1,0.8,1.3
2041,Live,Yes,1453.7,1029.2,1726.7
2041,Soil,No,35.1,27.7,40.9
2041,Soil,Yes,2523.9,2472.6,2657.8
2042,DOM,No,0.1,0.1,0.1
2042,DOM,Yes,618.2,464.3,896.5
2042,Live,No,1.1,0.8,1.3
2042,Live,Yes,1445.3,1022.4,1737.8
2042,Soil,No,35.8,28,41.9
2042,Soil,Yes,2523.5,2468.5,2664.3
2043,DOM,No,0.1,0.1,0.1
2043,DOM,Yes,622.7,471.3,891.6
2043,Live,No,1.1,0.8,1.4
2043,Live,Yes,1457.6,1077.2,1713.9
2043,Soil,No,36.5,28.4,42.9
2043,Soil,Yes,2522.8,2462.8,2670.7
2044,DOM,No,0.1,0.1,0.1
2044,DOM,Yes,631.3,477.8,892.4
2044,Live,No,1.1,0.8,1.4
2044,Live,Yes,1431.1,1054.9,1675.5
2044,Soil,No,37.2,28.7,43.8
2044,Soil,Yes,2523,2461.7,2674.2
2045,DOM,No,0.1,0.1,0.2
2045,DOM,Yes,630.7,467.9,889.1
2045,Live,No,1.1,0.8,1.4
2045,Live,Yes,1445.6,1087.6,1711
2045,Soil,No,37.9,28.9,44.7
2045,Soil,Yes,2522,2458.9,2678.1
2046,DOM,No,0.1,0.1,0.2
2046,DOM,Yes,625.8,470.2,875.2
2046,Live,No,1.2,0.8,1.4
2046,Live,Yes,1425.5,1065.4,1695.6
2046,Soil,No,38.5,29.2,45.6
2046,Soil,Yes,2522.3,2458,2685.9
2047,DOM,No,0.1,0.1,0.2
2047,DOM,Yes,613.5,456.8,860
2047,Live,No,1.2,0.8,1.5
2047,Live,Yes,1415.5,1068.2,1647.3
2047,Soil,No,39.2,29.5,46.5
2047,Soil,Yes,2520.5,2454.5,2692.6
2048,DOM,No,0.1,0.1,0.2
2048,DOM,Yes,604.1,451.3,842.4
2048,Live,No,1.2,0.8,1.5
2048,Live,Yes,1418.7,1067.6,1638.6
2048,Soil,No,39.8,29.7,47.5
2048,Soil,Yes,2516.6,2446.3,2691.9
2049,DOM,No,0.1,0.1,0.2
2049,DOM,Yes,598.1,452.7,822.1
2049,Live,No,1.2,0.8,1.5
2049,Live,Yes,1422.5,1062.6,1676
2049,Soil,No,40.5,29.9,48.3
2049,Soil,Yes,2512.7,2437.7,2689.9
2050,DOM,No,0.1,0.1,0.2
2050,DOM,Yes,590.7,448.5,804.9
2050,Live,No,1.2,0.8,1.5
2050,Live,Yes,1431.8,1119,1664.7
2050,Soil,No,41.1,30.2,49.2
2050,Soil,Yes,2509.1,2427.7,2690.5
2051,DOM,No,0.1,0.1,0.2
2051,DOM,Yes,586.7,454.1,790.4
2051,Live,No,1.2,0.9,1.6
2051,Live,Yes,1439.7,1139.7,1693.4
2051,Soil,No,41.7,30.4,50.1
2051,Soil,Yes,2506,2423.6,2686.6
2052,DOM,No,0.1,0.1,0.2
2052,DOM,Yes,582.8,443.9,776.3
2052,Live,No,1.3,0.9,1.6
2052,Live,Yes,1423.4,1118.5,1668.4
2052,Soil,No,42.3,30.7,51
2052,Soil,Yes,2503.4,2417.8,2688
2053,DOM,No,0.1,0.1,0.2
2053,DOM,Yes,586.2,436.6,762.4
2053,Live,No,1.3,0.9,1.6
2053,Live,Yes,1408.6,1130.8,1639
2053,Soil,No,43,30.9,51.9
2053,Soil,Yes,2499.2,2408.3,2687.4
2054,DOM,No,0.1,0.1,0.2
2054,DOM,Yes,582.6,445.3,752.8
2054,Live,No,1.3,0.9,1.7
2054,Live,Yes,1407.1,1137.5,1644.3
2054,Soil,No,43.6,31.1,52.8
2054,Soil,Yes,2494.5,2399.6,2685.6
2055,DOM,No,0.1,0.1,0.2
2055,DOM,Yes,582.2,466,749
2055,Live,No,1.3,0.9,1.7
2055,Live,Yes,1438,1183.6,1692.5
2055,Soil,No,44.2,31.3,53.7
2055,Soil,Yes,2489.6,2392.3,2682.5
2056,DOM,No,0.1,0.1,0.2
2056,DOM,Yes,595.8,481.6,755.5
2056,Live,No,1.3,0.9,1.7
2056,Live,Yes,1444.6,1217.2,1704.3
2056,Soil,No,44.8,31.5,54.6
2056,Soil,Yes,2487.4,2387.6,2684.4
2057,DOM,No,0.1,0.1,0.2
2057,DOM,Yes,599.4,486,743.6
2057,Live,No,1.3,0.9,1.7
2057,Live,Yes,1410.3,1177.1,1678.2
2057,Soil,No,45.4,31.7,55.5
2057,Soil,Yes,2486.8,2378.9,2690.3
2058,DOM,No,0.1,0.1,0.2
2058,DOM,Yes,594.3,485.4,735.2
2058,Live,No,1.4,0.9,1.8
2058,Live,Yes,1391.4,1145.4,1643.1
2058,Soil,No,46,32,56.5
2058,Soil,Yes,2483,2368.2,2694.2
2059,DOM,No,0.1,0.1,0.2
2059,DOM,Yes,588.3,479.8,722
2059,Live,No,1.4,0.9,1.8
2059,Live,Yes,1389.8,1103.7,1679.9
2059,Soil,No,46.6,32.2,57.4
2059,Soil,Yes,2477.8,2355.8,2694
2060,DOM,No,0.1,0.1,0.2
2060,DOM,Yes,584.2,490.6,710.4
2060,Live,No,1.4,0.9,1.8
2060,Live,Yes,1390.2,1129.9,1662.6
2060,Soil,No,47.3,32.4,58.3
2060,Soil,Yes,2472.3,2341.5,2695.4
2061,DOM,No,0.1,0.1,0.2
2061,DOM,Yes,579.4,482.6,691.8
2061,Live,No,1.4,0.9,1.8
2061,Live,Yes,1394.6,1137.9,1681.5
2061,Soil,No,47.9,32.6,59.2
2061,Soil,Yes,2467.3,2330.3,2691.6
2062,DOM,No,0.1,0.1,0.2
2062,DOM,Yes,572.6,489.3,676.5
2062,Live,No,1.4,0.9,1.9
2062,Live,Yes,1389,1154.9,1651.3
2062,Soil,No,48.5,32.8,60.2
2062,Soil,Yes,2462.5,2319.6,2692.4
2063,DOM,No,0.1,0.1,0.2
2063,DOM,Yes,569.6,490.9,664.4
2063,Live,No,1.4,0.9,1.9
2063,Live,Yes,1384.6,1170.4,1658.5
2063,Soil,No,49.1,33,61
2063,Soil,Yes,2456.7,2307.5,2688.2
2064,DOM,No,0.1,0.1,0.2
2064,DOM,Yes,568.9,495,681.4
2064,Live,No,1.4,0.9,1.9
2064,Live,Yes,1380.4,1089.4,1655.3
2064,Soil,No,49.6,33.2,61.9
2064,Soil,Yes,2450.9,2293.5,2683.5
2065,DOM,No,0.1,0.1,0.2
2065,DOM,Yes,578.8,502.9,698.1
2065,Live,No,1.5,0.9,1.9
2065,Live,Yes,1375.7,1068.5,1645.9
2065,Soil,No,50.2,33.4,62.8
2065,Soil,Yes,2444.9,2278.5,2678.4
2066,DOM,No,0.1,0.1,0.2
2066,DOM,Yes,581.5,508.9,709.2
2066,Live,No,1.5,0.9,2
2066,Live,Yes,1360.8,1037.1,1623.1
2066,Soil,No,50.8,33.6,63.7
