Timestep,Flux,Mean,Lower,Upper
2048,Rh,115.4,104.6,126.5
2049,LULCC,36.4,28.9,46
2049,NECB,-5.8,-46.4,65.1
2049,NEP,30.5,-13.9,106.9
2049,NPP,145.6,101.4,213.3
2049,Rh,115.1,105.1,124
2050,LULCC,38.1,30.6,46.3
2050,NECB,-1.4,-63.5,53.8
2050,NEP,36.6,-24,93.5
2050,NPP,153.3,103.3,206.3
2050,Rh,116.7,111.1,129
2051,LULCC,37.8,29.8,48
2051,NECB,1.3,-24.7,53.7
2051,NEP,39.1,9.4,97.8
2051,NPP,156.1,121.9,219.1
2051,Rh,117.1,108.9,126.7
2052,LULCC,36,26.7,49.9
2052,NECB,-22.6,-46.8,26.9
2052,NEP,13.4,-10.3,73
2052,NPP,131,100.3,194.6
2052,Rh,117.6,104.5,130.6
2053,LULCC,35.6,27.9,44
2053,NECB,-15.3,-49.6,22.1
2053,NEP,20.3,-14.5,62
2053,NPP,138.4,102.4,185.2
2053,Rh,118.1,111.5,124
2054,LULCC,35.7,26,45.8
2054,NECB,-9.5,-53.4,31.8
2054,NEP,26.2,-22.3,71.1
2054,NPP,143.9,93.1,202.2
2054,Rh,117.7,102.6,133.1
2055,LULCC,40.1,27.9,50.1
2055,NECB,25.9,-38.6,53.4
2055,NEP,66.1,-7.6,97.4
2055,NPP,183.3,102,220.2
2055,Rh,117.2,105.3,130.7
2056,LULCC,40.3,30.3,50.4
2056,NECB,18.2,-45.3,54.1
2056,NEP,58.5,-7.6,98.2
2056,NPP,176.4,120.7,217.9
2056,Rh,118,105.5,139.3
2057,LULCC,37.4,29.2,50.5
2057,NECB,-31,-63.9,-2
2057,NEP,6.4,-29.3,44.2
2057,NPP,128.3,88.9,192.6
2057,Rh,121.9,106.2,149.5
2058,LULCC,36.5,24.7,48.3
2058,NECB,-27.5,-76.7,43.4
2058,NEP,9,-41.8,87.2
2058,NPP,129,79.8,216.9
2058,Rh,120,102,136.8
2059,LULCC,35.3,24.5,53.2
2059,NECB,-12.7,-62.3,68.6
2059,NEP,22.6,-33.6,117.6
2059,NPP,142.1,76.8,260.6
2059,Rh,119.5,106,143.9
2060,LULCC,35.3,26.8,50.3
2060,NECB,-8.8,-46,46.3
2060,NEP,26.6,-8,92.8
2060,NPP,143.6,94.4,235.3
2060,Rh,117,97.5,143.4
2061,LULCC,35.9,29.6,44.7
2061,NECB,-5.3,-72.3,36.2
2061,NEP,30.6,-33.3,77.7
2061,NPP,146.5,118.4,194.2
2061,Rh,115.9,103.9,153.4
2062,LULCC,37.2,31.3,43.9
2062,NECB,-17,-60.7,30.7
2062,NEP,20.2,-23.3,68.4
2062,NPP,141,112,183.6
2062,Rh,120.8,101.3,137.1
2063,LULCC,35.6,28.1,42.6
2063,NECB,-13,-73.2,44.7
2063,NEP,22.6,-41,81.7
2063,NPP,138.2,85.8,187.2
2063,Rh,115.6,103.1,130.7
2064,LULCC,36.3,24.9,45.6
2064,NECB,-10.4,-56.8,33.9
2064,NEP,25.9,-29.7,75.8
2064,NPP,146,83.6,198.3
2064,Rh,120.1,109.7,131.1
2065,LULCC,37.3,26.9,52.8
2065,NECB,-0.6,-20.4,76.7
2065,NEP,36.7,14,125.6
2065,NPP,151.5,115,251.8
2065,Rh,114.8,100.5,127.1
2066,LULCC,34.4,23.2,42.9
2066,NECB,-16.8,-74.5,31.7
2066,NEP,17.5,-49.4,70.7
2066,NPP,136.4,56.9,190.6
2066,Rh,118.9,101.7,143.6
2067,LULCC,36.4,25,47.3
2067,NECB,-5.3,-54,44.2
2067,NEP,31,-27.1,86.9
2067,NPP,149.1,78.7,203.3
2067,Rh,118.1,98.5,148.4
2068,LULCC,37.3,30.2,47.8
2068,NECB,8.1,-70.6,68.9
2068,NEP,45.4,-32.4,113.1
2068,NPP,162.1,96.3,239.7
2068,Rh,116.7,101.1,134.7
2069,LULCC,37.5,29.2,50.6
2069,NECB,-19.6,-73.9,13.1
2069,NEP,17.9,-38,50.9
2069,NPP,137.9,85,187
2069,Rh,120,108,143.2
2070,LULCC,37,29.1,46.3
2070,NECB,4.4,-10.9,28.3
2070,NEP,41.4,23.7,65.4
2070,NPP,158.7,133.5,183.8
2070,Rh,117.3,107.1,139.8
2071,LULCC,37.9,27.6,47.4
2071,NECB,5.1,-25.4,36.2
2071,NEP,42.9,5.7,78.9
2071,NPP,161.1,109,195.5
2071,Rh,118.1,101.5,139.1
2072,LULCC,36.5,30.8,43.1
2072,NECB,-21.8,-58.5,30.1
2072,NEP,14.7,-22,64.2
2072,NPP,135.9,96.1,176.9
2072,Rh,121.2,110.2,137.7
2073,LULCC,32.8,23.8,41
2073,NECB,-25.4,-67.6,16.6
2073,NEP,7.4,-41.5,51.1
2073,NPP,122.9,67.6,160.8
2073,Rh,115.5,96.9,138.1
2074,LULCC,35.3,27.5,42.5
2074,NECB,-0.3,-45.6,73.6
2074,NEP,35,-11.2,111.9
2074,NPP,150.5,94.9,220.4
2074,Rh,115.5,96.3,133
2075,LULCC,36.6,29.6,43.2
2075,NECB,5.4,-32,35.5
2075,NEP,42,2.8,73.1
2075,NPP,158,123.9,189.1
2075,Rh,116,104.2,134.2
2076,LULCC,35.5,26.6,48.5
2076,NECB,-16.6,-50.6,7.4
2076,NEP,18.9,-21.2,47.1
2076,NPP,141.4,93.3,178.8
2076,Rh,122.6,106.9,136.4
2077,LULCC,37.9,29.4,49
2077,NECB,13.1,-16.2,61.4
2077,NEP,51,18.5,105.4
2077,NPP,168.1,122.5,244.6
2077,Rh,117.1,103.1,141.1
2078,LULCC,37.3,29.2,47.5
2078,NECB,2.9,-31.8,62.7
2078,NEP,40.2,4.8,103.5
2078,NPP,161.6,123.2,223.5
2078,Rh,121.3,101.2,152.6
2079,LULCC,36.3,28.5,45.3
2079,NECB,-14.8,-52.8,27.7
2079,NEP,21.5,-17.3,65.1
2079,NPP,145.1,99.6,186.1
2079,Rh,123.5,105,145.3
2080,LULCC,35.6,27.5,45.6
2080,NECB,-5.4,-58.2,63.3
2080,NEP,30.2,-23,105.8
2080,NPP,146,99.9,232.1
2080,Rh,115.8,94.2,133.6
2081,LULCC,36.7,27.1,52
2081,NECB,-18,-73.4,60
2081,NEP,18.7,-36.6,108.9
2081,NPP,141.3,83.3,258.8
2081,Rh,122.6,107.3,151.4
2082,LULCC,36.9,28,48.4
2082,NECB,2.7,-48.1,54
2082,NEP,39.7,-16.2,90.6
2082,NPP,159.3,97.5,212
2082,Rh,119.6,96.8,146.4
2083,LULCC,37.9,28.5,46.4
2083,NECB,-16.6,-77.8,46.8
2083,NEP,21.3,-41.1,84.1
2083,NPP,142.3,104.2,199.9
2083,Rh,121,103.8,151.4
2084,LULCC,34.6,26.5,47.1
2084,NECB,-10.1,-54.2,60.1
2084,NEP,24.6,-23.7,104.2
2084,NPP,143.5,91.6,242
2084,Rh,118.9,98.5,139.3
2085,LULCC,36.6,26,50.7
2085,NECB,-6.4,-52.5,37.2
2085,NEP,30.1,-23.7,83.8
2085,NPP,150.2,79.6,216.1
2085,Rh,120,102.1,145.7
2086,LULCC,36.2,26.5,45.6
2086,NECB,-11.4,-42.2,17.5
2086,NEP,24.8,-12.4,58.5
2086,NPP,146.8,101,194
2086,Rh,122,100.4,153.5
2087,LULCC,37.2,26.6,45.7
2087,NECB,6.8,-74.4,66.7
2087,NEP,43.9,-36.7,107
2087,NPP,162.3,98.1,217.3
2087,Rh,118.3,88.8,141.8
2088,LULCC,37.4,28.7,50.5
2088,NECB,6.9,-49.1,71
2088,NEP,44.3,-16.5,118.2
2088,NPP,163.2,105.8,259
2088,Rh,118.9,97.7,142.4
2089,LULCC,37.3,26.9,51.5
2089,NECB,12.8,-36.1,76.3
2089,NEP,50.2,-6.9,122.4
2089,NPP,170,97.9,259.4
2089,Rh,119.8,103.5,148.8
2090,LULCC,36.4,27.2,47
2090,NECB,-9.4,-66.1,40.3
2090,NEP,27,-34.1,75.1
2090,NPP,149.7,87.6,193.1
2090,Rh,122.7,94,152.4
2091,LULCC,34.6,27.6,44.9
2091,NECB,-20.3,-43.6,3.2
2091,NEP,14.3,-12.1,35.9
2091,NPP,133.9,101.7,183.5
2091,Rh,119.6,94.8,149.7
2092,LULCC,34.5,25.3,49
2092,NECB,-22.3,-67.3,49.8
2092,NEP,12.2,-30.6,96.1
2092,NPP,132.1,85.8,236.1
2092,Rh,120,98.6,142.3
2093,LULCC,35.2,25.6,47.6
2093,NECB,-18.2,-51.3,31.4
2093,NEP,17,-15.7,73.4
2093,NPP,134.7,95.1,199.9
2093,Rh,117.7,95.9,159.2
2094,LULCC,38,28.8,49.9
2094,NECB,-1.9,-39.6,52.8
2094,NEP,36.1,-5.8,95.8
2094,NPP,156.1,109.6,217.3
2094,Rh,120,95.1,145.8
2095,LULCC,35.9,26.3,48.8
2095,NECB,-6.1,-49.8,48.3
2095,NEP,29.7,-15.8,91.8
2095,NPP,148.2,94.5,217
2095,Rh,118.4,100.8,141.2
2096,LULCC,34.3,26.4,45.3
2096,NECB,-36.5,-101.1,0.2
2096,NEP,-2.2,-62.3,30.8
2096,NPP,117,85.8,143.5
2096,Rh,119.2,98,150.2
2097,LULCC,34.9,28.1,44.2
2097,NECB,3.3,-17,18.5
2097,NEP,38.3,21.3,51.6
2097,NPP,153.7,130.7,173.1
2097,Rh,115.4,97.1,135.6
2098,LULCC,36.6,26.6,48.7
2098,NECB,4.8,-34,44.3
2098,NEP,41.4,-4,89.4
2098,NPP,161.4,101.6,215.5
2098,Rh,120,96.1,147.7
2099,LULCC,36.7,28.9,52.3
2099,NECB,-4.1,-55.7,52.1
2099,NEP,32.6,-19.1,86.1
2099,NPP,150.3,106.7,210.4
2099,Rh,117.7,93.1,139.9
2100,LULCC,36.5,28.6,52.1
2100,NECB,-2.1,-33.4,44.3
2100,NEP,34.4,-1.1,80.6
2100,NPP,154.8,108.3,217.1
2100,Rh,120.5,98.3,155.6
2101,LULCC,36.4,28.4,52.1
2101,NECB,-1.5,-31,40.4
2101,NEP,34.9,0.9,77.7
2101,NPP,154.9,108.5,216.3
2101,Rh,120,99.4,153.5
