Timestep,EcoregionID,EcoregionName,Ecosystem,Mean,Lower,Upper
2012,13,Central B&R,Yes,135.5,135.5,135.6
2012,14,Mojave B&R,No,0.2,0.2,0.3
2012,14,Mojave B&R,Yes,212.9,212.8,213
2012,78,Klamath Mtns.,No,0,0,0.1
2012,78,Klamath Mtns.,Yes,880.1,878.9,881.2
2012,80,Northern B&R,No,0,0,0.1
2012,80,Northern B&R,Yes,55.7,55.5,55.8
2012,81,Sonoran B&R,No,0.4,0.2,0.6
2012,81,Sonoran B&R,Yes,84.4,84.1,84.6
2013,1,Coast Range,No,0.2,0.1,0.3
2013,1,Coast Range,Yes,414,413,415
2013,4,Cascades,No,0,0,0.1
2013,4,Cascades,Yes,38.3,38.1,38.5
2013,5,Sierra Nevada,No,0.2,0.1,0.3
2013,5,Sierra Nevada,Yes,882.4,881.5,883.4
2013,6,Oak Woodlands,No,6,5.5,6.5
2013,6,Oak Woodlands,Yes,1110.4,1109,1111.6
2013,7,Central Valley,No,3.6,3.2,4.1
2013,7,Central Valley,Yes,343.3,342.1,344.6
2013,8,SoCal Mtns.,No,0.3,0.2,0.4
2013,8,SoCal Mtns.,Yes,211,210.7,211.4
2013,9,East Cascades,No,0.1,0.1,0.3
2013,9,East Cascades,Yes,342.2,341.7,342.7
2013,13,Central B&R,No,0,0,0
2013,13,Central B&R,Yes,134.4,134.3,134.5
2013,14,Mojave B&R,No,0.2,0.2,0.3
2013,14,Mojave B&R,Yes,210.5,210.4,210.6
2013,78,Klamath Mtns.,No,0,0,0.1
2013,78,Klamath Mtns.,Yes,865,863.4,866.4
2013,80,Northern B&R,No,0,0,0.1
2013,80,Northern B&R,Yes,55.3,55.2,55.4
2013,81,Sonoran B&R,No,0.4,0.2,0.6
2013,81,Sonoran B&R,Yes,84.2,83.9,84.5
2014,1,Coast Range,No,0.2,0.1,0.3
2014,1,Coast Range,Yes,413.3,412.1,414.7
2014,4,Cascades,No,0.1,0,0.1
2014,4,Cascades,Yes,38.2,38,38.5
2014,5,Sierra Nevada,No,0.2,0.1,0.3
2014,5,Sierra Nevada,Yes,877.4,876.2,878.8
2014,6,Oak Woodlands,No,6.6,5.9,7.1
2014,6,Oak Woodlands,Yes,1103.6,1102,1105.3
2014,7,Central Valley,No,3.8,3.4,4.4
2014,7,Central Valley,Yes,343.3,341.9,344.6
2014,8,SoCal Mtns.,No,0.3,0.3,0.4
2014,8,SoCal Mtns.,Yes,208.9,208.5,209.2
2014,9,East Cascades,No,0.2,0.1,0.3
2014,9,East Cascades,Yes,341.5,340.9,342.1
2014,13,Central B&R,No,0,0,0
2014,13,Central B&R,Yes,134,133.9,134.1
2014,14,Mojave B&R,No,0.3,0.2,0.3
2014,14,Mojave B&R,Yes,208,207.9,208.1
2014,78,Klamath Mtns.,No,0,0,0.1
2014,78,Klamath Mtns.,Yes,860.8,858.7,862.7
2014,80,Northern B&R,No,0,0,0.1
2014,80,Northern B&R,Yes,55.4,55.2,55.5
2014,81,Sonoran B&R,No,0.4,0.2,0.7
2014,81,Sonoran B&R,Yes,83.4,83.1,83.7
2015,1,Coast Range,No,0.3,0.2,0.4
2015,1,Coast Range,Yes,410.6,409.1,412.3
2015,4,Cascades,No,0.1,0,0.1
2015,4,Cascades,Yes,38,37.7,38.2
2015,5,Sierra Nevada,No,0.2,0.1,0.3
2015,5,Sierra Nevada,Yes,871.4,869.8,873.1
2015,6,Oak Woodlands,No,7.2,6.3,7.8
2015,6,Oak Woodlands,Yes,1086.7,1084.7,1088.7
2015,7,Central Valley,No,4.1,3.6,4.6
2015,7,Central Valley,Yes,337.1,335.6,338.5
2015,8,SoCal Mtns.,No,0.4,0.3,0.4
2015,8,SoCal Mtns.,Yes,205.7,205.3,206
2015,9,East Cascades,No,0.2,0.1,0.3
2015,9,East Cascades,Yes,340.6,339.9,341.3
2015,13,Central B&R,No,0,0,0
2015,13,Central B&R,Yes,134,133.9,134.1
2015,14,Mojave B&R,No,0.3,0.2,0.3
2015,14,Mojave B&R,Yes,206.9,206.8,207.1
2015,78,Klamath Mtns.,No,0,0,0.1
2015,78,Klamath Mtns.,Yes,852.8,850.3,855.1
2015,80,Northern B&R,No,0,0,0.1
2015,80,Northern B&R,Yes,55.5,55.3,55.6
2015,81,Sonoran B&R,No,0.4,0.3,0.7
2015,81,Sonoran B&R,Yes,83.1,82.7,83.4
2016,1,Coast Range,No,0.3,0.2,0.4
2016,1,Coast Range,Yes,411.5,408.2,414.6
2016,4,Cascades,No,0.1,0,0.1
2016,4,Cascades,Yes,38.1,37.7,38.4
2016,5,Sierra Nevada,No,0.2,0.1,0.3
2016,5,Sierra Nevada,Yes,872.1,866,876.3
2016,6,Oak Woodlands,No,7.7,6.7,8.4
2016,6,Oak Woodlands,Yes,1091.9,1074.7,1104.9
2016,7,Central Valley,No,4.3,3.8,4.9
2016,7,Central Valley,Yes,342.5,331.3,349.6
2016,8,SoCal Mtns.,No,0.4,0.3,0.5
2016,8,SoCal Mtns.,Yes,206.4,203.4,209.7
2016,9,East Cascades,No,0.2,0.1,0.3
2016,9,East Cascades,Yes,340.8,338.3,343.5
2016,13,Central B&R,No,0,0,0
2016,13,Central B&R,Yes,134.4,133.5,135.2
2016,14,Mojave B&R,No,0.3,0.2,0.4
2016,14,Mojave B&R,Yes,207.3,203.5,212
2016,78,Klamath Mtns.,No,0,0,0.1
2016,78,Klamath Mtns.,Yes,856.7,851.4,860.9
2016,80,Northern B&R,No,0.1,0,0.1
2016,80,Northern B&R,Yes,55.5,55.1,55.9
2016,81,Sonoran B&R,No,0.5,0.3,0.7
2016,81,Sonoran B&R,Yes,82.9,81.6,84.7
2017,1,Coast Range,No,0.3,0.2,0.5
2017,1,Coast Range,Yes,409.5,404.7,413.9
2017,4,Cascades,No,0.1,0,0.1
2017,4,Cascades,Yes,38,37.4,38.4
2017,5,Sierra Nevada,No,0.2,0.2,0.4
2017,5,Sierra Nevada,Yes,868.3,860,875.1
2017,6,Oak Woodlands,No,8.3,7.1,9
2017,6,Oak Woodlands,Yes,1083.4,1061.9,1106
2017,7,Central Valley,No,4.5,4,5.2
2017,7,Central Valley,Yes,337.1,325.6,348.4
2017,8,SoCal Mtns.,No,0.4,0.3,0.5
2017,8,SoCal Mtns.,Yes,205.3,201.3,209.2
2017,9,East Cascades,No,0.2,0.1,0.3
2017,9,East Cascades,Yes,338.8,335.2,342.5
2017,13,Central B&R,No,0,0,0
2017,13,Central B&R,Yes,134.1,132.9,134.8
2017,14,Mojave B&R,No,0.3,0.3,0.4
2017,14,Mojave B&R,Yes,206.8,201.6,210
2017,78,Klamath Mtns.,No,0,0,0.1
2017,78,Klamath Mtns.,Yes,855,845.7,862.8
2017,80,Northern B&R,No,0.1,0,0.1
2017,80,Northern B&R,Yes,55.2,54.6,55.8
2017,81,Sonoran B&R,No,0.5,0.3,0.8
2017,81,Sonoran B&R,Yes,83.1,81.4,85.2
2018,1,Coast Range,No,0.4,0.2,0.5
2018,1,Coast Range,Yes,409.3,404.3,415.5
2018,4,Cascades,No,0.1,0,0.1
2018,4,Cascades,Yes,37.9,37.3,38.5
2018,5,Sierra Nevada,No,0.2,0.2,0.4
2018,5,Sierra Nevada,Yes,866.8,859.1,876.8
2018,6,Oak Woodlands,No,8.8,7.6,9.6
2018,6,Oak Woodlands,Yes,1083.3,1068,1119.8
2018,7,Central Valley,No,4.8,4.2,5.5
2018,7,Central Valley,Yes,337,328.6,355.7
2018,8,SoCal Mtns.,No,0.4,0.4,0.5
2018,8,SoCal Mtns.,Yes,206,200.6,213.4
2018,9,East Cascades,No,0.2,0.1,0.3
2018,9,East Cascades,Yes,338.1,334.4,342.8
2018,13,Central B&R,No,0,0,0
2018,13,Central B&R,Yes,134.1,133.2,135.3
2018,14,Mojave B&R,No,0.4,0.3,0.4
2018,14,Mojave B&R,Yes,208,202.3,212.6
2018,78,Klamath Mtns.,No,0,0,0.1
2018,78,Klamath Mtns.,Yes,856.1,847.5,866
2018,80,Northern B&R,No,0.1,0,0.1
2018,80,Northern B&R,Yes,55.1,54.6,55.9
2018,81,Sonoran B&R,No,0.6,0.3,0.9
2018,81,Sonoran B&R,Yes,83.6,81.2,85.8
2019,1,Coast Range,No,0.4,0.2,0.6
2019,1,Coast Range,Yes,410.6,404.5,417.9
2019,4,Cascades,No,0.1,0,0.1
2019,4,Cascades,Yes,38,37.2,38.6
2019,5,Sierra Nevada,No,0.3,0.2,0.4
2019,5,Sierra Nevada,Yes,867.1,859.7,878.3
2019,6,Oak Woodlands,No,9.4,8.1,10.3
2019,6,Oak Woodlands,Yes,1088.4,1066,1129.6
2019,7,Central Valley,No,5,4.4,5.8
2019,7,Central Valley,Yes,340.8,327,361.9
2019,8,SoCal Mtns.,No,0.5,0.4,0.6
2019,8,SoCal Mtns.,Yes,206.8,201.9,214.7
2019,9,East Cascades,No,0.2,0.1,0.3
2019,9,East Cascades,Yes,338.9,333,344.3
2019,13,Central B&R,No,0,0,0
2019,13,Central B&R,Yes,134.5,133.1,136
2019,14,Mojave B&R,No,0.4,0.3,0.5
2019,14,Mojave B&R,Yes,208.8,202.6,212.2
2019,78,Klamath Mtns.,No,0,0,0.1
2019,78,Klamath Mtns.,Yes,859.3,849,869.6
2019,80,Northern B&R,No,0.1,0,0.2
2019,80,Northern B&R,Yes,55.3,54.4,56.1
2019,81,Sonoran B&R,No,0.6,0.4,0.9
2019,81,Sonoran B&R,Yes,83.8,80.9,85.3
2020,1,Coast Range,No,0.4,0.2,0.6
2020,1,Coast Range,Yes,410.3,401.7,418.9
2020,4,Cascades,No,0.1,0,0.1
2020,4,Cascades,Yes,37.9,36.9,38.7
2020,5,Sierra Nevada,No,0.3,0.2,0.4
2020,5,Sierra Nevada,Yes,865.4,855.2,879.8
2020,6,Oak Woodlands,No,10,8.6,10.9
2020,6,Oak Woodlands,Yes,1090.2,1052.4,1140.8
2020,7,Central Valley,No,5.3,4.6,6.1
2020,7,Central Valley,Yes,340.9,321.1,364.8
2020,8,SoCal Mtns.,No,0.5,0.4,0.6
2020,8,SoCal Mtns.,Yes,208,200.5,218.2
2020,9,East Cascades,No,0.2,0.1,0.3
2020,9,East Cascades,Yes,338,330.3,343.9
2020,13,Central B&R,No,0,0,0
2020,13,Central B&R,Yes,134.8,132.8,137.5
2020,14,Mojave B&R,No,0.4,0.3,0.5
2020,14,Mojave B&R,Yes,210,203,215.7
2020,78,Klamath Mtns.,No,0.1,0,0.1
2020,78,Klamath Mtns.,Yes,859.3,844.7,871.2
2020,80,Northern B&R,No,0.1,0,0.2
2020,80,Northern B&R,Yes,55.2,54.2,56.2
2020,81,Sonoran B&R,No,0.6,0.4,1
2020,81,Sonoran B&R,Yes,84.2,81.1,85.9
2021,1,Coast Range,No,0.5,0.3,0.7
2021,1,Coast Range,Yes,410.7,401.5,418.9
2021,4,Cascades,No,0.1,0,0.2
2021,4,Cascades,Yes,38,36.9,38.8
2021,5,Sierra Nevada,No,0.3,0.2,0.4
2021,5,Sierra Nevada,Yes,864.7,855.1,878.1
2021,6,Oak Woodlands,No,10.5,9,11.6
2021,6,Oak Woodlands,Yes,1088.7,1061,1129.5
2021,7,Central Valley,No,5.6,4.8,6.4
2021,7,Central Valley,Yes,340,327.9,356.2
2021,8,SoCal Mtns.,No,0.5,0.4,0.7
2021,8,SoCal Mtns.,Yes,207.5,201.1,215.9
2021,9,East Cascades,No,0.2,0.1,0.3
2021,9,East Cascades,Yes,338.3,331.4,343.3
2021,13,Central B&R,No,0,0,0
2021,13,Central B&R,Yes,134.8,132.8,137
2021,14,Mojave B&R,No,0.4,0.3,0.5
2021,14,Mojave B&R,Yes,209.3,203,215.8
2021,78,Klamath Mtns.,No,0.1,0,0.1
2021,78,Klamath Mtns.,Yes,861.1,844.6,873.9
2021,80,Northern B&R,No,0.1,0,0.2
2021,80,Northern B&R,Yes,55.2,54.4,56.1
2021,81,Sonoran B&R,No,0.7,0.4,1
2021,81,Sonoran B&R,Yes,83.6,81.7,85.8
2022,1,Coast Range,No,0.5,0.3,0.7
2022,1,Coast Range,Yes,410.3,401.4,419.2
2022,4,Cascades,No,0.1,0,0.2
2022,4,Cascades,Yes,38,36.9,38.8
2022,5,Sierra Nevada,No,0.3,0.2,0.4
2022,5,Sierra Nevada,Yes,862.8,851,876.5
2022,6,Oak Woodlands,No,11.1,9.5,12.2
2022,6,Oak Woodlands,Yes,1085.7,1055,1120.6
2022,7,Central Valley,No,5.8,5,6.7
2022,7,Central Valley,Yes,337.6,324.6,351.4
2022,8,SoCal Mtns.,No,0.6,0.5,0.7
2022,8,SoCal Mtns.,Yes,207.3,199.9,213.7
2022,9,East Cascades,No,0.2,0.1,0.4
2022,9,East Cascades,Yes,338.4,331.4,344.4
2022,13,Central B&R,No,0,0,0
2022,13,Central B&R,Yes,134.8,132.8,136.8
2022,14,Mojave B&R,No,0.5,0.3,0.6
2022,14,Mojave B&R,Yes,209,201.4,215.8
2022,78,Klamath Mtns.,No,0.1,0,0.1
2022,78,Klamath Mtns.,Yes,861.7,844.2,876.6
2022,80,Northern B&R,No,0.1,0,0.2
