LUC,GCM,RCP,Timestep,Ecosystem,Mean,Lower,Upper
BAU,CanESM2,rcp45,2075,No,68,62,73.9
BAU,CanESM2,rcp45,2075,Yes,4388.6,4337.9,4430.5
BAU,CanESM2,rcp45,2076,No,68.9,62.8,74.6
BAU,CanESM2,rcp45,2076,Yes,4387.6,4337,4429.1
BAU,CanESM2,rcp45,2077,No,69.8,63.7,75.6
BAU,CanESM2,rcp45,2077,Yes,4392.9,4343.8,4434.8
BAU,CanESM2,rcp45,2078,No,70.8,64.5,76.6
BAU,CanESM2,rcp45,2078,Yes,4451.6,4402.7,4493.2
BAU,CanESM2,rcp45,2079,No,71.8,65.5,77.7
BAU,CanESM2,rcp45,2079,Yes,4463.5,4412.8,4505
BAU,CanESM2,rcp45,2080,No,72.6,66.6,78.6
BAU,CanESM2,rcp45,2080,Yes,4406.9,4356.6,4450.9
BAU,CanESM2,rcp45,2081,No,73.6,67.5,79.8
BAU,CanESM2,rcp45,2081,Yes,4411.5,4360.8,4457.5
BAU,CanESM2,rcp45,2082,No,74.5,68.6,80.8
BAU,CanESM2,rcp45,2082,Yes,4449.5,4397.6,4496.9
BAU,CanESM2,rcp45,2083,No,75.4,69.7,81.7
BAU,CanESM2,rcp45,2083,Yes,4391.7,4341,4439.5
BAU,CanESM2,rcp45,2084,No,76.3,70.7,82.6
BAU,CanESM2,rcp45,2084,Yes,4377.9,4327.4,4426.8
BAU,CanESM2,rcp45,2085,No,77.3,71.1,83.6
BAU,CanESM2,rcp45,2085,Yes,4405.6,4355.6,4453.5
BAU,CanESM2,rcp45,2086,No,78.2,72,84.9
BAU,CanESM2,rcp45,2086,Yes,4386.6,4335.2,4435.5
BAU,CanESM2,rcp45,2087,No,79.2,72.4,86
BAU,CanESM2,rcp45,2087,Yes,4433.2,4379,4484.4
BAU,CanESM2,rcp45,2088,No,80,73,86.7
BAU,CanESM2,rcp45,2088,Yes,4428.9,4374.9,4482.3
BAU,CanESM2,rcp45,2089,No,80.9,74.2,87.8
BAU,CanESM2,rcp45,2089,Yes,4412.3,4358.5,4462.8
BAU,CanESM2,rcp45,2090,No,81.8,74.6,89.1
BAU,CanESM2,rcp45,2090,Yes,4348,4295.1,4399.4
BAU,CanESM2,rcp45,2091,No,82.7,75.6,90
BAU,CanESM2,rcp45,2091,Yes,4320.4,4268.6,4370.4
BAU,CanESM2,rcp45,2092,No,83.6,76.6,90.5
BAU,CanESM2,rcp45,2092,Yes,4340.9,4289.8,4390.4
BAU,CanESM2,rcp45,2093,No,84.5,77.3,91.3
BAU,CanESM2,rcp45,2093,Yes,4358.9,4310.9,4408.6
BAU,CanESM2,rcp45,2094,No,85.3,78.1,91.8
BAU,CanESM2,rcp45,2094,Yes,4348.6,4301.6,4396.4
BAU,CanESM2,rcp45,2095,No,86.3,78.9,93
BAU,CanESM2,rcp45,2095,Yes,4300.7,4255,4346.9
BAU,CanESM2,rcp45,2096,No,87.1,79.8,94
BAU,CanESM2,rcp45,2096,Yes,4263.7,4218.4,4309.8
BAU,CanESM2,rcp45,2097,No,88,80.6,94.7
BAU,CanESM2,rcp45,2097,Yes,4272,4227.8,4317.9
BAU,CanESM2,rcp45,2098,No,88.9,82.2,95.6
BAU,CanESM2,rcp45,2098,Yes,4305.1,4258.4,4351.6
BAU,CanESM2,rcp45,2099,No,89.9,82.6,96.8
BAU,CanESM2,rcp45,2099,Yes,4277.8,4233.4,4323.2
BAU,CanESM2,rcp45,2100,No,90.8,83,98.1
BAU,CanESM2,rcp45,2100,Yes,4266.7,4226.6,4314.3
BAU,CanESM2,rcp45,2101,No,91.7,84.2,99.1
BAU,CanESM2,rcp45,2101,Yes,4257.7,4214.9,4304.5
BAU,CanESM2,rcp85,2001,No,0,0,0
BAU,CanESM2,rcp85,2001,Yes,4823.1,4823.1,4823.1
BAU,CanESM2,rcp85,2002,No,1.8,1.6,2.1
BAU,CanESM2,rcp85,2002,Yes,4794,4793.4,4794.6
BAU,CanESM2,rcp85,2003,No,2.9,2.6,3.2
BAU,CanESM2,rcp85,2003,Yes,4786.7,4785.9,4787.4
BAU,CanESM2,rcp85,2004,No,4,3.7,4.4
BAU,CanESM2,rcp85,2004,Yes,4792.9,4792,4793.8
BAU,CanESM2,rcp85,2005,No,5.1,4.7,5.6
BAU,CanESM2,rcp85,2005,Yes,4830.4,4829.3,4831.5
BAU,CanESM2,rcp85,2006,No,6.2,5.8,6.7
BAU,CanESM2,rcp85,2006,Yes,4833.9,4832.5,4835.1
BAU,CanESM2,rcp85,2007,No,7.1,6.6,7.7
BAU,CanESM2,rcp85,2007,Yes,4783,4781.5,4784.3
BAU,CanESM2,rcp85,2008,No,8,7.4,8.7
BAU,CanESM2,rcp85,2008,Yes,4753.4,4751.7,4754.8
BAU,CanESM2,rcp85,2009,No,8.7,8.1,9.3
BAU,CanESM2,rcp85,2009,Yes,4733.6,4731.9,4735.3
BAU,CanESM2,rcp85,2010,No,9.3,8.7,9.9
BAU,CanESM2,rcp85,2010,Yes,4793.2,4791.2,4794.9
BAU,CanESM2,rcp85,2011,No,9.8,9,10.5
BAU,CanESM2,rcp85,2011,Yes,4788.6,4786.4,4790.6
BAU,CanESM2,rcp85,2012,No,10.2,9.5,10.9
BAU,CanESM2,rcp85,2012,Yes,4782.1,4779.7,4784.2
BAU,CanESM2,rcp85,2013,No,11.2,10.4,12.2
BAU,CanESM2,rcp85,2013,Yes,4691,4685.9,4695
BAU,CanESM2,rcp85,2014,No,12.1,11.1,13.4
BAU,CanESM2,rcp85,2014,Yes,4667.8,4661.6,4671.9
BAU,CanESM2,rcp85,2015,No,13.1,11.6,14.7
BAU,CanESM2,rcp85,2015,Yes,4622.2,4615.7,4627.4
BAU,CanESM2,rcp85,2016,No,13.9,12.2,15.7
BAU,CanESM2,rcp85,2016,Yes,4593.1,4585.9,4599.3
BAU,CanESM2,rcp85,2017,No,14.8,13.2,16.6
BAU,CanESM2,rcp85,2017,Yes,4552,4544,4559.6
BAU,CanESM2,rcp85,2018,No,15.8,14.1,18
BAU,CanESM2,rcp85,2018,Yes,4571.3,4563.1,4579.9
BAU,CanESM2,rcp85,2019,No,16.7,14.8,19
BAU,CanESM2,rcp85,2019,Yes,4615.5,4605,4623.7
BAU,CanESM2,rcp85,2020,No,17.7,15.5,20
BAU,CanESM2,rcp85,2020,Yes,4672.5,4663,4681.9
BAU,CanESM2,rcp85,2021,No,18.6,16.3,21.1
BAU,CanESM2,rcp85,2021,Yes,4625.3,4615.2,4634.8
BAU,CanESM2,rcp85,2022,No,19.5,17.1,21.7
BAU,CanESM2,rcp85,2022,Yes,4566.4,4556.5,4576.2
BAU,CanESM2,rcp85,2023,No,20.4,18,23.2
BAU,CanESM2,rcp85,2023,Yes,4580.3,4568.4,4591.3
BAU,CanESM2,rcp85,2024,No,21.4,18.7,23.9
BAU,CanESM2,rcp85,2024,Yes,4639.3,4627.9,4654.1
BAU,CanESM2,rcp85,2025,No,22.4,20,25.2
BAU,CanESM2,rcp85,2025,Yes,4657,4644.3,4674.2
BAU,CanESM2,rcp85,2026,No,23.4,20.8,26.3
BAU,CanESM2,rcp85,2026,Yes,4646.3,4630.7,4667
BAU,CanESM2,rcp85,2027,No,24.3,21.5,27.4
BAU,CanESM2,rcp85,2027,Yes,4587.5,4570.3,4608.3
BAU,CanESM2,rcp85,2028,No,25.3,22.4,28.2
BAU,CanESM2,rcp85,2028,Yes,4579.8,4559.4,4603.5
BAU,CanESM2,rcp85,2029,No,26.2,23.1,29.4
BAU,CanESM2,rcp85,2029,Yes,4554.2,4532.4,4579.5
BAU,CanESM2,rcp85,2030,No,27.1,23.6,30.6
BAU,CanESM2,rcp85,2030,Yes,4504.6,4482.1,4531.9
BAU,CanESM2,rcp85,2031,No,28,25,31.4
BAU,CanESM2,rcp85,2031,Yes,4473.4,4449.5,4503.4
BAU,CanESM2,rcp85,2032,No,28.9,26,32.6
BAU,CanESM2,rcp85,2032,Yes,4504.3,4476.1,4539.8
BAU,CanESM2,rcp85,2033,No,29.9,26.7,33.5
BAU,CanESM2,rcp85,2033,Yes,4491,4459.6,4529.4
BAU,CanESM2,rcp85,2034,No,30.7,27.4,34.5
BAU,CanESM2,rcp85,2034,Yes,4491.9,4458.7,4531.8
BAU,CanESM2,rcp85,2035,No,31.7,28.5,35.4
BAU,CanESM2,rcp85,2035,Yes,4490.6,4455.9,4535.1
BAU,CanESM2,rcp85,2036,No,32.6,29.2,36.2
