Timestep,TransitionGroupID,Amount,DistributionType,DistributionFrequencyID,DistributionSD
2031,DROUGHT: Low Severity [Type],8563.612452,Normal,Iteration and Timestep,4281.806226
2032,DROUGHT: Low Severity [Type],9056.107662,Normal,Iteration and Timestep,4528.053831
2033,DROUGHT: Low Severity [Type],7880.226197,Normal,Iteration and Timestep,3940.113098
2034,DROUGHT: Low Severity [Type],5465.313011,Normal,Iteration and Timestep,2732.656506
2035,DROUGHT: Low Severity [Type],5876.055402,Normal,Iteration and Timestep,2938.027701
2036,DROUGHT: Low Severity [Type],3850.409684,Normal,Iteration and Timestep,1925.204842
2037,DROUGHT: Low Severity [Type],2924.673418,Normal,Iteration and Timestep,1462.336709
2038,DROUGHT: Low Severity [Type],3099.519314,Normal,Iteration and Timestep,1549.759657
2039,DROUGHT: Low Severity [Type],3008.577418,Normal,Iteration and Timestep,1504.288709
2040,DROUGHT: Low Severity [Type],3663.647611,Normal,Iteration and Timestep,1831.823806
2041,DROUGHT: Low Severity [Type],5253.814433,Normal,Iteration and Timestep,2626.907217
2042,DROUGHT: Low Severity [Type],11085.27953,Normal,Iteration and Timestep,5542.639763
2043,DROUGHT: Low Severity [Type],9990.854494,Normal,Iteration and Timestep,4995.427247
2044,DROUGHT: Low Severity [Type],11469.17891,Normal,Iteration and Timestep,5734.589456
2045,DROUGHT: Low Severity [Type],6537.285669,Normal,Iteration and Timestep,3268.642834
2046,DROUGHT: Low Severity [Type],4618.010308,Normal,Iteration and Timestep,2309.005154
2047,DROUGHT: Low Severity [Type],2849.673984,Normal,Iteration and Timestep,1424.836992
2048,DROUGHT: Low Severity [Type],2921.899499,Normal,Iteration and Timestep,1460.949749
2049,DROUGHT: Low Severity [Type],2879.495566,Normal,Iteration and Timestep,1439.747783
2050,DROUGHT: Low Severity [Type],3337.230926,Normal,Iteration and Timestep,1668.615463
2051,DROUGHT: Low Severity [Type],3398.314372,Normal,Iteration and Timestep,1699.157186
2052,DROUGHT: Low Severity [Type],6104.46355,Normal,Iteration and Timestep,3052.231775
2053,DROUGHT: Low Severity [Type],7954.640902,Normal,Iteration and Timestep,3977.320451
2054,DROUGHT: Low Severity [Type],8275.845958,Normal,Iteration and Timestep,4137.922979
2055,DROUGHT: Low Severity [Type],8796.961552,Normal,Iteration and Timestep,4398.480776
2056,DROUGHT: Low Severity [Type],7604.830988,Normal,Iteration and Timestep,3802.415494
2057,DROUGHT: Low Severity [Type],7184.856348,Normal,Iteration and Timestep,3592.428174
2058,DROUGHT: Low Severity [Type],6790.059957,Normal,Iteration and Timestep,3395.029978
2059,DROUGHT: Low Severity [Type],5499.951683,Normal,Iteration and Timestep,2749.975842
2060,DROUGHT: Low Severity [Type],2966.429272,Normal,Iteration and Timestep,1483.214636
2061,DROUGHT: Low Severity [Type],3870.733722,Normal,Iteration and Timestep,1935.366861
2062,DROUGHT: Low Severity [Type],4219.605544,Normal,Iteration and Timestep,2109.802772
2063,DROUGHT: Low Severity [Type],3124.056529,Normal,Iteration and Timestep,1562.028265
2064,DROUGHT: Low Severity [Type],3958.623839,Normal,Iteration and Timestep,1979.31192
2065,DROUGHT: Low Severity [Type],10346.31527,Normal,Iteration and Timestep,5173.157635
2066,DROUGHT: Low Severity [Type],10563.08626,Normal,Iteration and Timestep,5281.543131
2067,DROUGHT: Low Severity [Type],9226.511088,Normal,Iteration and Timestep,4613.255544
2068,DROUGHT: Low Severity [Type],13648.20611,Normal,Iteration and Timestep,6824.103057
2069,DROUGHT: Low Severity [Type],14079.00239,Normal,Iteration and Timestep,7039.501197
2070,DROUGHT: Low Severity [Type],10565.64089,Normal,Iteration and Timestep,5282.820447
2071,DROUGHT: Low Severity [Type],10077.5927,Normal,Iteration and Timestep,5038.796349
2072,DROUGHT: Low Severity [Type],11157.81056,Normal,Iteration and Timestep,5578.905279
2073,DROUGHT: Low Severity [Type],6145.952388,Normal,Iteration and Timestep,3072.976194
2074,DROUGHT: Low Severity [Type],5865.596153,Normal,Iteration and Timestep,2932.798077
2075,DROUGHT: Low Severity [Type],7467.312101,Normal,Iteration and Timestep,3733.656051
2076,DROUGHT: Low Severity [Type],7121.536171,Normal,Iteration and Timestep,3560.768085
2077,DROUGHT: Low Severity [Type],4213.058623,Normal,Iteration and Timestep,2106.529311
2078,DROUGHT: Low Severity [Type],4483.427377,Normal,Iteration and Timestep,2241.713689
2079,DROUGHT: Low Severity [Type],4265.353543,Normal,Iteration and Timestep,2132.676771
2080,DROUGHT: Low Severity [Type],4126.588521,Normal,Iteration and Timestep,2063.294261
2081,DROUGHT: Low Severity [Type],3578.984835,Normal,Iteration and Timestep,1789.492417
2082,DROUGHT: Low Severity [Type],4847.447134,Normal,Iteration and Timestep,2423.723567
2083,DROUGHT: Low Severity [Type],5034.987555,Normal,Iteration and Timestep,2517.493778
2084,DROUGHT: Low Severity [Type],4503.857968,Normal,Iteration and Timestep,2251.928984
2085,DROUGHT: Low Severity [Type],4583.97876,Normal,Iteration and Timestep,2291.98938
2086,DROUGHT: Low Severity [Type],5309.638273,Normal,Iteration and Timestep,2654.819136
2087,DROUGHT: Low Severity [Type],6051.974232,Normal,Iteration and Timestep,3025.987116
2088,DROUGHT: Low Severity [Type],4230.514824,Normal,Iteration and Timestep,2115.257412
2089,DROUGHT: Low Severity [Type],6220.348005,Normal,Iteration and Timestep,3110.174003
2090,DROUGHT: Low Severity [Type],6651.093826,Normal,Iteration and Timestep,3325.546913
2091,DROUGHT: Low Severity [Type],6393.669217,Normal,Iteration and Timestep,3196.834608
2092,DROUGHT: Low Severity [Type],6146.221697,Normal,Iteration and Timestep,3073.110848
2093,DROUGHT: Low Severity [Type],10507.96841,Normal,Iteration and Timestep,5253.984204
2094,DROUGHT: Low Severity [Type],11865.74342,Normal,Iteration and Timestep,5932.871708
2095,DROUGHT: Low Severity [Type],9616.563635,Normal,Iteration and Timestep,4808.281818
2096,DROUGHT: Low Severity [Type],7385.412955,Normal,Iteration and Timestep,3692.706478
2097,DROUGHT: Low Severity [Type],6491.027483,Normal,Iteration and Timestep,3245.513741
2098,DROUGHT: Low Severity [Type],4943.191655,Normal,Iteration and Timestep,2471.595827
2099,DROUGHT: Low Severity [Type],4145.49676,Normal,Iteration and Timestep,2072.74838
2100,DROUGHT: Low Severity [Type],6347.418759,Normal,Iteration and Timestep,3173.709379
